q0001  01:00.7-01:07.7  ГДЕ-ТО НА ПОЛОЙ ЗЕМЛЕ
q0002  04:58.0-05:00.1  Пока существует цивилизация,
q0003  05:00.2-05:04.3  мы считали себя доминирующим на Земле видом.
q0004  05:04.4-05:09.9  Мы считали, что жизнь может существовать лишь на поверхности планеты.
q0005  05:10.0-05:12.3  Но приходит миг, когда задаешься вопросом...
q0006  05:12.4-05:13.4  Д-Р АЙЛИН ЭНДРЮС АНАЛИТИК КОНГА
q0007  05:13.5-05:15.0  ...в чём еще мы ошибались?
q0008  05:20.3-05:24.9  Мы нанесли на карту менее 5% Полой Земли.
q0009  05:25.4-05:30.3  Но наши экосистемы связаны невообразимыми способами.
q0010  05:31.0-05:34.3  Это не два отдельных мира. Это один.
q0011  05:34.4-05:35.7  НАЙДЕНЫ ПОРТАЛЫ В ПОЛУЮ ЗЕМЛЮ
q0012  05:37.6-05:39.1  Конг обживается на Полой Земле.
q0013  05:39.2-05:40.1  КОНГ УШЕЛ НА ПОЛУЮ ЗЕМЛЮ
q0014  05:40.2-05:42.5  Значит, великану нравится новый дом.
q0015  05:42.6-05:43.7  Нам так кажется.
q0016  05:44.1-05:46.2  Его вид был очень общительным.
q0017  05:46.7-05:49.7  Для Конга одиночество неестественно.
q0018  05:52.7-05:54.2  Он - последний представитель вида.
q0019  05:54.3-05:57.7  День за днем он ищет семью, которую не найдет.
q0020  05:59.6-06:01.1  А Годзилла?
q0021  06:01.2-06:02.0  ТЕРРИТОРИЯ ГОДЗИЛЛЫ
q0022  06:02.1-06:03.6  Годзилла на поверхности, Конг под землей.
q0023  06:03.7-06:04.5  ТЕРРИТОРИЯ КОНГА
q0024  06:04.6-06:06.9  Пока не вздумают зайти на территорию друг друга,
q0025  06:07.0-06:08.6  нам не о чём беспокоиться.
q0026  06:09.1-06:11.7  Человечеству везет: Годзилла борется вместо нас.
q0027  06:11.8-06:12.6  РИМ, ТИТАН 024
q0028  06:18.1-06:20.6  РИМ, ИТАЛИЯ
q0029  07:16.4-07:22.9  ГОДЗИЛЛА И КОНГ: НОВАЯ ИМПЕРИЯ
q0030  07:30.7-07:34.0  Критики упрекают, что Монарх тратит миллиарды долларов налогоплательщиков...
q0031  07:34.1-07:35.1  ПЕРВЫЙ ФОРПОСТ ПОЛАЯ ЗЕМЛЯ
q0032  07:35.2-07:37.8  ...на Полую Землю и секретные технологии,
q0033  07:37.8-07:40.1  например, на загадочный проект Силовая станция.
q0034  07:40.2-07:44.1  Спросим представителя Монарх д-ра Айлин Эндрюс.
q0035  07:44.2-07:45.6  Начнем с Годзиллы.
q0036  07:46.1-07:47.2  Он остановил нападение в Риме,
q0037  07:47.3-07:48.3  но остался в городе.
q0038  07:48.4-07:49.9  ГОДЗИЛЛА ЗАХВАТЫВАЕТ КОЛИЗЕЙ
q0039  07:50.0-07:53.6  Теперь нам ясно,
q0040  07:53.7-07:55.5  что Годзилла - титан, защищающий нас
q0041  07:55.6-07:59.5  от других опасных титанов.
q0042  07:59.5-08:01.3  - Конг уходит на ночь. - Так далеко он еще не ходил.
q0043  08:01.4-08:02.7  Может, искал пару.
q0044  08:03.4-08:04.7  Удачи ему!
q0045  08:04.8-08:07.5  Надеюсь, он готов к межвидовой любви.
q0046  08:10.1-08:12.3  В пятом секторе обнаружена воронка.
q0047  08:12.3-08:13.3  СЕЙСМИЧЕСКАЯ АКТИВНОСТЬ
q0048  08:13.4-08:15.0  Это охотничьи угодья Конга.
q0049  08:21.7-08:23.7  ОБНАРУЖЕНА НЕИЗВЕСТНАЯ МЕСТНОСТЬ!
q0050  08:28.2-08:29.5  Это продолжается.
q0051  08:32.4-08:33.6  Новые электрические аномалии?
q0052  08:33.7-08:34.8  Нет, вряд ли.
q0053  08:34.9-08:36.5  Такого прежде не видел.
q0054  08:36.9-08:38.7  Надо сказать директору Хэмптон.
q0055  08:39.3-08:42.7  Я запишу. Всё это место - аномалия.
q0056  08:44.5-08:45.9  Так странно.
q0057  08:55.5-09:00.0  ВХОД В ПОЛУЮ ЗЕМЛЮ МОНАРХ, БАРБАДОС
q0058  09:00.6-09:02.9  Скажите итальянской армии: Рим был бы в руинах,
q0059  09:03.0-09:04.3  если бы не Годзилла.
q0060  09:04.4-09:06.2  Могут грозить ему сколько угодно.
q0061  09:06.3-09:08.4  Пусть найдут другого козла отпущения.
q0062  09:08.5-09:10.0  Директор Хэмптон, в чём дело?
q0063  09:10.1-09:14.0  На первом форпосте всё еще сущий кошмар, и они прислали это.
q0064  09:14.4-09:15.8  Я подумала, захочешь взглянуть.
q0065  09:15.9-09:17.3  Это из сенсорной сети?
q0066  09:17.4-09:19.7  Да, мы отмечали странные скачки.
q0067  09:19.7-09:21.4  Возможно, обычные помехи.
q0068  09:21.5-09:22.7  Да, но это повторяется.
q0069  09:23.3-09:24.9  Надо готовить исследовательскую группу.
q0070  09:25.0-09:25.8  Ладно.
q0071  09:26.4-09:27.7  А что делает Годзилла?
q0072  09:28.8-09:32.6  Всё еще спит. Как большой сердитый ребенок.
q0073  09:32.7-09:34.3  Будем надеяться, так и останется.
q0074  09:36.5-09:39.9  АКАДЕМИЯ БАЗЫ МОНАРХ БАРБАДОС
q0075  09:49.3-09:51.7  Смотрите на свои задания.
q0076  09:52.9-09:57.1  Ответы обводите очень, очень четко.
q0077  10:26.5-10:27.5  Джиа!
q0078  10:40.4-10:41.7  ШКОЛА БАЗЫ МОНАРХ К-12
q0079  10:41.7-10:45.1  Ваша дочь умна, но не участвует в уроках.
q0080  10:45.2-10:49.2  Ее оценки ухудшаются, она не проводит время с одноклассниками.
q0081  10:49.2-10:52.1  И эти проблемы не исчезают, доктор Эндрюс.
q0082  10:52.2-10:53.6  Они усиливаются.
q0083  10:55.9-10:59.5  Она еще приспосабливается к нашему миру.
q0084  10:59.6-11:01.8  Понимаю, но есть много учеников,
q0085  11:01.8-11:02.9  оторванных от своей культуры...
q0086  11:03.0-11:05.7  Она не оторвана, а воплощает свою культуру.
q0087  11:05.8-11:08.1  Она - последний представитель племени иви.
q0088  11:09.1-11:10.6  Пытаемся установить с ней связь.
q0089  11:12.0-11:13.0  Знаю.
