q0001  00:00.0-00:10.3  Величие человеческих достижений
q0002  00:30.0-00:39.3  что видел мир ибо если мы сможем уменьшить аудио и видеопоток мы сможем уменьшить рак и голод и
q0003  00:39.3-00:48.4  спит а вот же мудак нафига так резво бежать впереди паровоза кто так делает он это делает
q0004  00:48.4-00:53.7  чтобы у нас очков спотела по-моему волноваться нечего я им дал плеер из старого репозитория там
q0005  00:53.7-00:59.0  только аудио видеокомпрессия работает совсем по-другому у них тот же пеги дудочник только
q0006  00:59.0-01:01.1  хуже. Люди поймут. Нет, если
q0007  01:01.1-01:03.1  они выйдут на рынок раньше нас. Посредственно
q0008  01:03.1-01:05.0  всегда побеждает. Типа как
q0009  01:05.0-01:06.5  Иисус. Сатану.
q0010  01:07.6-01:08.7  Я хотел сказать, как
q0011  01:08.7-01:10.8  ВИЧС Битакам. Так, ладно, но
q0012  01:10.8-01:12.8  здесь точно идеальный продукт.
q0013  01:13.3-01:14.7  Это автомат для Маргариты?
q0014  01:15.2-01:15.8  Лучше.
q0015  01:17.1-01:19.1  Моя первая официальная покупка
q0016  01:19.1-01:20.3  в качестве директора.
q0017  01:21.0-01:22.8  Только не говори, что это наш логотип.
q0018  01:23.2-01:24.7  Тут мужик сосёт шлен,
q0019  01:25.4-01:26.4  а ещё один шлен
q0020  01:26.4-01:28.8  заначил за ухом. Минет по-быстрому.
q0021  01:29.0-01:31.9  Нет, это Пегги Дудочник. Надевайте-ка.
q0022  01:32.2-01:33.4  Гилфуэл, лови.
q0023  01:33.9-01:34.5  Не буду.
q0024  01:35.1-01:40.0  Джаред, я оплатил Майке кредиткой и, кажется, исчерпал лимит.
q0025  01:40.7-01:43.2  Вот, у нас, похоже, небольшая проблема.
q0026  01:44.2-01:45.7  Чек Питера Грегори и что?
q0027  01:46.0-01:48.7  Он выписан на Пегги Дудочник Инкорпорейтед.
q0028  01:48.7-01:50.6  Я пробил по базе торговых марок.
q0029  01:50.8-01:53.0  Пегги Дудочник уже зарегистрирован в Калифорнии.
q0030  01:53.6-01:55.3  Придётся сменить название.
q0031  01:55.6-01:56.5  О, слава богу.
q0032  01:56.7-01:58.6  Хвала тёмному лорду, наконец-то.
q0033  01:58.6-02:02.8  Нет, не наконец-то. Все любят пегово-дуточника. Это классическая легенда.
q0034  02:03.0-02:06.7  Я почитал, там жестокий флейтист утопил детей в реке.
q0035  02:06.9-02:10.1  Несмотря на прекрасную историю, Ричард, название отстой.
q0036  02:10.2-02:14.3  Ричард, если мы сменим имя, надо делать это немедленно. К имени привыкаешь.
q0037  02:14.8-02:19.0  Имя Джаред мне дал Гэвин в первый же день. А вообще я Дональд.
q0038  02:19.3-02:24.4  Но, Джаред, мы уже купили футболки. Их нельзя вернуть, они из интернета.
q0039  02:24.4-02:27.7  Это что за убожество? Мы что, ирландские порномагнаты?
q0040  02:28.4-02:30.4  Я думал, мы сменим пегово-дудочника.
q0041  02:30.7-02:32.1  Это вроде рабочее название.
q0042  02:32.3-02:35.0  Рабочее название и то лучше пегово-дудочника.
q0043  02:35.9-02:40.0  Ричард, я стараюсь не называть себя сооснователем пегово-дудочника,
q0044  02:40.2-02:42.4  потому что по чесноку это позорно.
q0045  02:43.4-02:48.6  Так, ну что ж, позволь напомнить, что ты не сооснователь.
q0046  02:48.9-02:50.1  Так что не называй дальше.
q0047  02:50.5-02:51.8  Ричард, взять хоть авиата.
q0048  02:51.8-02:54.9  Это не я нашел название, это оно нашло меня.
q0049  02:55.5-02:56.5  Вояжи грез.
q0050  02:57.0-02:58.0  И ты попробуй.
q0051  02:58.3-03:04.1  Нет-нет, я не буду нажраться наркотой, сидеть посреди пустыни и ждать, когда название свалится мне на голову.
q0052  03:04.3-03:05.5  Тогда что же за лидер такой?
q0053  03:05.6-03:08.0  Ричард, имя определяет компанию.
q0054  03:08.0-03:12.8  Оно должно быть первобытным, чтобы хотелось кричать во время секса.
q0055  03:13.9-03:15.1  Вроде авиато.
q0056  03:17.1-03:17.9  Убер.
q0057  03:19.3-03:19.9  Гу.
q0058  03:21.1-03:21.7  Угл.
q0059  03:22.1-03:22.5  Ху.
q0060  03:23.9-03:24.7  Именно, да?
q0061  03:24.7-03:26.7  Пегги-дуточник!
q0062  03:31.4-03:32.9  Прошу прощения.
q0063  03:33.3-03:37.0  Ты что, правда кончаешь таким тонюсеньким голоском?
q0064  03:37.3-03:39.9  Нет, просто все начали, и я подхватил.
q0065  03:49.2-03:50.6  Кремниевая долина
q0066  03:54.7-03:57.9  Пацаны, нельзя менять название.
q0067  03:58.0-04:01.9  Я не пойду к Питеру Грегори с новым названием выпрашивать нам новый чек.
q0068  04:02.0-04:04.4  Он наверняка отшивал и за меньшую ерунду.
q0069  04:04.9-04:09.5  Название и торговая марка Пегги Дудочник принадлежат ирригаторам из Гилроя.
q0070  04:09.7-04:13.3  Можешь съездить и поговорить, но они могут не согласиться.
q0071  04:13.7-04:15.4  Нет-нет-нет, я попробую убедить.
q0072  04:15.4-04:17.5  Без обид, Ричард, но убеждаешь ты хреново.
q0073  04:17.6-04:19.1  Я прекрасно убеждаю, Динеш.
q0074  04:19.5-04:20.1  Отвратительно.
q0075  04:20.4-04:22.1  Я нормально убеждаю.
q0076  04:23.1-04:24.2  Вот так.
q0077  04:24.7-04:28.4  А, Питер, вот и вы!
q0078  04:29.2-04:34.4  Вас уже 40 минут ждут представители Астрофилла по поводу срочных финансовых выливаний.
q0079  04:35.0-04:38.7  Как мы и говорили, наш завод в Северной Каролине близок к краху.
q0080  04:38.9-04:43.0  Нам нужны 15 миллионов сейчас же, или мы закроемся.
q0081  04:45.6-04:49.5  Вы когда-нибудь питались в Бургер Кинге?
q0082  04:51.8-04:52.6  Да.
q0083  04:52.6-04:54.5  А что?
q0084  04:54.7-04:58.5  Ну? Я проезжал мимо них.
q0085  04:59.4-05:06.6  Их рыночная капитализация превышает 7 миллиардов, а я даже не знаком с ассортиментом.
q0086  05:06.8-05:12.6  Ясно, хорошо. А при чём тут он популярен в нашем кругу?
q0087  05:12.6-05:14.5  Вам нравится?
q0088  05:15.5-05:16.7  Люди вроде любят.
q0089  05:16.8-05:17.8  Да, неплохо.
q0090  05:17.9-05:21.7  И там готовят одни бургеры, да?
q0091  05:22.3-05:24.1  В которых они, видимо, короли.
q0092  05:24.7-05:28.3  Да не только. Курица, рыба.
q0093  05:28.5-05:30.3  Простите, а к чему всё это?
q0094  05:31.2-05:32.9  Вот к чему всё это.
q0095  05:33.2-05:38.3  Моника, попроси помощника съездить в ближайший Бургер Кинг.
q0096  05:38.9-05:41.2  Пусть купит всего по штуке.
q0097  05:46.0-05:53.3  Эй, Динэш. Динэш, я говорю с банком, там просят ещё что-то заполнить из-за твоей визы.
q0098  05:53.3-05:54.4  Визы?
