q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:31.4  Я ненадолго.
q0003  00:31.8-00:33.0  Стой, нет, что?
q0004  00:33.4-00:34.0  Ну ладно.
q0005  00:34.8-00:36.7  Блин, он бросил нас тут одних?
q0006  00:39.2-00:41.3  О, чёрт, ты посмотри.
q0007  00:42.5-00:43.7  Мороз по коже.
q0008  00:45.7-00:47.2  Эй, а...
q0009  00:47.2-00:48.9  Эй, братан, есть чё?
q0010  00:49.5-00:50.7  Подними, пожалуйста.
q0011  00:51.2-00:52.8  Пока ты держишь, стекло не поднимется.
q0012  00:53.2-00:54.4  Ну, пожалуйста, ты...
q0013  00:54.4-00:55.1  Вот мудила.
q0014  00:55.9-00:56.5  Ай!
q0015  00:56.5-00:58.0  Я тебе сейчас морду набью.
q0016  00:58.0-01:00.2  Чуэр Амирес?
q0017  01:01.0-01:03.0  Эрлих Бахман, я тебе звонил
q0018  01:03.0-01:03.7  Здорово
q0019  01:03.7-01:04.6  Рад знакомству?
q0020  01:04.8-01:05.3  Миштяк
q0021  01:05.3-01:07.3  Красота! Ты глянь
q0022  01:07.3-01:08.9  Как раз то, что нам нужно
q0023  01:08.9-01:10.2  Нечто дикое
q0024  01:10.2-01:12.3  У нас, правда, название хреновое
q0025  01:12.3-01:13.3  Пегги Дудочник
q0026  01:13.3-01:16.2  Но меньше всего хочется логотип из двух маленьких букв
q0027  01:16.2-01:18.5  Которые наши местные гондоны клепают пачками
q0028  01:18.5-01:19.9  Вот что нам нужно
q0029  01:19.9-01:21.4  Опцион полагается?
q0030  01:22.6-01:22.9  Че?
q0031  01:23.4-01:24.4  Да и вы че, знаешь?
q0032  01:24.9-01:26.5  Он разукрашивал Фейсбук
q0033  01:26.5-01:29.7  Я заключил контракт с опционом и наварил сотню тысяч баксов.
q0034  01:29.9-01:31.0  Хочу такую сделку.
q0035  01:31.6-01:34.6  Да мы далеки от сраны Уолл-стрит, понимаешь?
q0036  01:35.2-01:38.3  Мы пятёрка парней тусим в доме и рожаем что-нибудь клёвое.
q0037  01:38.6-01:41.8  Ты сказал, у тебя 10%, а значит поляну сечёшь, так?
q0038  01:42.3-01:43.7  Делись своей долей.
q0039  01:44.0-01:45.5  Эй, я же не бухгалтер.
q0040  01:45.8-01:47.9  Я даже не понимаю, что ты сейчас сказал.
