q0001  00:00.0-00:02.6  Вот так.
q0002  00:08.4-00:10.1  Классное платье, Райан.
q0003  00:10.5-00:12.2  Это не платье, это Курта.
q0004  00:12.6-00:13.2  Ладно.
q0005  00:13.7-00:17.3  Сегодня одна из наших самых этнических коллег Келли
q0006  00:17.3-00:21.2  пригласила нас на празднование Дивали в свою общину.
q0007  00:22.5-00:24.6  Вы спросите, что такое Дивали?
q0008  00:24.6-00:40.5  Если бы стала объяснять Келли, ну, у меня это суперклёво, будет очень весело, куча богов с непроизносимыми именами, а через 20 минут понимаешь, что это индусский Хэллоуин.
q0009  00:40.9-00:41.6  Ты такой красивый.
q0010  00:42.5-00:43.1  Это точно.
q0011  00:44.0-00:44.9  Отличная ткань.
q0012  00:45.0-00:45.6  Я знаю.
q0013  00:46.0-00:47.5  А почему ты мне не принесла?
q0014  00:54.6-00:56.9  В ролях Стив Карл,
q0015  00:59.9-01:02.3  Рейн Уилсон,
q0016  01:05.1-01:06.6  Джон Красинский,
q0017  01:08.3-01:09.3  Дженна Фишер
q0018  01:09.3-01:12.4  и Би Джей Новак.
q0019  01:19.7-01:20.4  Офис.
q0020  01:20.4-01:27.7  Если взять мини-вен Мередит, а я одолжу Боба Юкан, там поместится 12 человек
q0021  01:27.7-01:31.0  Я, наверное, не поеду, что-то я устала
q0022  01:31.0-01:33.7  Хочешь выпить мартини и посмотреть секс в большом городе у меня?
q0023  01:34.1-01:36.2  Не знаю, я ещё не решила
q0024  01:36.2-01:40.0  Не понимаю, почему ты не идёшь?
q0025  01:40.2-01:41.2  Я что-то не то сделала
q0026  01:41.2-01:42.9  Я думала, мы близкие подруги
q0027  01:42.9-01:43.9  Я просто очень устала
q0028  01:43.9-01:45.2  Может, это мононуклеоз?
q0029  01:45.2-01:45.7  Может быть
q0030  01:45.7-01:47.5  Я...
q0031  01:47.5-01:49.1  Мне просто не с кем пойти
q0032  01:49.1-01:50.3  Иди с Дуайтом
q0033  01:50.3-01:52.0  У него тоже никого нет.
q0034  01:52.5-01:53.7  Да, а у меня никого нет.
q0035  01:53.9-01:55.1  Я доступен на сто процентов.
q0036  01:56.6-01:58.7  Ну что, идёте на этот индийский праздник?
q0037  01:60.0-02:00.5  Не знаю.
q0038  02:01.0-02:02.0  А кто? Кто идёт?
q0039  02:03.6-02:06.1  Я хотел сказать, АПМ идёт?
q0040  02:06.7-02:08.6  Не ходите, там едят обезьянные мозги.
q0041  02:08.8-02:09.9  Эй, прекрати.
q0042  02:10.3-02:11.4  Это оскорбление.
q0043  02:11.5-02:13.3  Индусы не едят обезьянные мозги.
q0044  02:14.4-02:15.3  А если едят?
q0045  02:16.2-02:16.9  Я за.
q0046  02:16.9-02:20.4  Потому что они наверняка вкусные и питательные.
q0047  02:23.6-02:28.9  Очень важно, чтобы в этой компании праздновали различия.
q0048  02:30.5-02:35.0  И ты знаешь, Стэнли, когда наступит кванза, я тебя прикрою.
q0049  02:35.1-02:36.6  Я не праздную кванзу.
q0050  02:37.2-02:39.9  Правда? А стоило бы. Это весело.
q0051  02:40.2-02:42.6  Я обожаю этих людей.
q0052  02:43.6-02:46.5  Вот только мне очень и очень не нравится.
q0053  02:46.9-02:53.5  что они могут быть ужасно несведущими в других культурах.
q0054  02:53.5-02:58.7  И я не хочу стесняться их на глазах у моей девушки Кэрол.
q0055  02:59.1-03:01.8  Дивали – очень важный праздник для индусов,
q0056  03:02.4-03:08.5  но, если честно, меня слегка пугает то, что вы так мало знаете об индийской культуре.
q0057  03:09.6-03:13.3  И без дальнейших предисловий, Келли, твой черед.
q0058  03:13.3-03:17.5  Дивали – это потрясающе
q0059  03:17.5-03:19.9  Там дают еду и будут танцы
q0060  03:19.9-03:22.4  И у меня будет самый классный костюм
q0061  03:22.4-03:23.6  Келли?
q0062  03:23.7-03:24.4  Со стразами
q0063  03:24.4-03:29.6  Может, расскажешь нам немного о корнях этого праздника?
q0064  03:30.6-03:33.1  Я не знаю, наверное, они очень древние
q0065  03:33.1-03:34.3  Сколько у вас богов?
q0066  03:34.5-03:36.8  Сотни, а может и больше, не знаю
q0067  03:36.8-03:39.8  А какая история у этой синей грудастой девицы?
q0068  03:39.8-03:41.9  Ниже шеи на Пэм похожа
q0069  03:41.9-03:43.0  Если бы
q0070  03:43.0-03:46.1  Келли, я продолжу.
q0071  03:46.8-03:54.1  Дивали – это празднование коронации бога короля Рамы после его эпической битвы с Раваной, демоном-королём Ланки.
q0072  03:54.2-03:55.1  Оно символизирует битву.
q0073  03:55.1-03:57.8  Ладно, хватит. Это не Властелин колец.
q0074  03:58.7-03:59.1  Ну вот.
q0075  04:01.3-04:02.0  Прости.
q0076  04:04.2-04:06.3  Я начал ездить на велосипеде.
q0077  04:06.7-04:07.4  Джош ездит.
q0078  04:07.8-04:09.4  А ведь живёт куда дальше, чем я.
q0079  04:09.4-04:14.4  Так я экономлю бензин, держу себя в форме, помогаю природе, а ещё...
q0080  04:15.8-04:18.9  Приезжаю на работу ужасно потным.
q0081  04:21.6-04:22.7  Классная картина.
q0082  04:24.0-04:24.4  Спасибо.
q0083  04:27.6-04:30.4  Многие скажут, что Келли одна на миллион.
q0084  04:31.2-04:33.2  И это правда, но в то же время нет.
q0085  04:33.7-04:38.2  Потому что в нашем мире есть миллиарды таких, как Келли.
q0086  04:38.2-04:41.9  Вот некоторые знаменитые индийцы.
q0087  04:45.1-04:47.3  Субраманьян Чандрасикар.
q0088  04:48.5-04:50.3  Получил Нобелевскую по физике.
q0089  04:51.3-04:52.0  Впечатляет.
q0090  04:53.2-04:54.7  Апу из Симпсонов.
q0091  04:54.9-04:56.0  Уморительный индус.
q0092  04:56.9-04:58.2  Эм Найт Шьямалан.
q0093  04:58.4-05:00.2  Таинственный лес, неуязвимый.
q0094  05:00.3-05:01.1  Шестое чувство.
q0095  05:01.3-05:02.6  Я вижу мёртвых людей.
q0096  05:03.2-05:04.3  Так, без спойлеров.
q0097  05:04.7-05:05.7  Он всё время был мёртвым.
q0098  05:05.7-05:06.1  Прекрати.
q0099  05:06.1-05:06.2  Прекрати.
q0100  05:07.8-05:08.1  Что?
q0101  05:08.2-05:11.6  Что? А это откуда взялось?
q0102  05:22.8-05:23.4  А ты его тряс?
q0103  05:23.9-05:25.5  Да, конечно, тряс.
q0104  05:30.3-05:33.3  У нас, Карен, просто американские горки.
q0105  05:34.3-05:34.9  Прости.
q0106  05:35.3-05:36.9  Дружба в стиле американских горок.
q0107  05:37.5-05:41.5  Жарко, холодно, друзья-враги, сплошное сексуальное напряжение,
q0108  05:41.5-05:42.8  Прямо как Сэм и Диана.
q0109  05:43.4-05:44.9  Прямо как Сэм и Диана.
q0110  05:46.3-05:46.8  Ух ты, да?
q0111  05:46.9-05:48.1  Из веселой компании, да?
q0112  05:48.7-05:50.9  И ещё кое-что насчёт индусов.
q0113  05:51.8-05:53.5  Они любят разные позы в сексе.
q0114  05:53.8-05:55.4  Представляю вам Камасутру.
q0115  05:56.8-05:59.1  Вы посмотрите, кто видел такое раньше.
q0116  05:59.6-06:01.5  Я. Это Союз Обезьян.
q0117  06:02.0-06:03.7  Так вот, как это называется.
q0118  06:04.4-06:06.3  Лучшее собрание за все годы.
q0119  06:06.5-06:07.3  Спасибо, Кевин.
q0120  06:07.3-06:09.3  А я считаю, что это невероятно оскорбительно.
q0121  06:09.5-06:10.9  А я, что это прекрасно.
q0122  06:10.9-06:15.9  Пусть Келли занимается чем хочет у себя дома, но мы не должны при этом присутствовать.
q0123  06:16.1-06:16.4  Нет.
q0124  06:16.5-06:20.8  Вообще-то она права. Это неприлично. Давайте я соберу.
q0125  06:20.9-06:22.6  Нет, не смей их собирать.
q0126  06:22.8-06:23.1  Ну да.
q0127  06:23.6-06:26.2  Нет, это же замечательная, очаровательная культура.
q0128  06:26.6-06:33.6  Мой семинар по культуре Индии шел прекрасно, пока Тоби не решил, что он еще маленький для таких культурно-недвусмысленных картинок.
q0129  06:33.6-06:36.1  Это же просто секс, и все этим занимаются.
q0130  06:36.4-06:38.9  Я занимаюсь им с Кэрол.
q0131  06:38.9-06:39.9  Сегодня, наверное.
q0132  06:40.9-06:43.4  Ну ладно.
q0133  06:44.1-06:45.4  Давайте, ребята, готовьтесь.
q0134  06:45.6-06:47.4  Вот корпоративная карточка на ужин.
q0135  06:47.6-06:47.9  Спасибо.
q0136  06:48.1-06:51.3  Каран, только на этот раз ограничитесь 20 баксами на человека.
q0137  06:51.3-06:51.6  Хорошо.
q0138  06:54.1-06:59.1  Раз в квартал, продавцы этого филиала остаются допоздна, чтобы консолидировать форму заказа.
q0139  06:59.4-07:00.9  И это...
q0140  07:00.9-07:03.4  На удивление, ещё скучнее, чем кажется.
q0141  07:04.6-07:05.8  Вы готовы к вечеринке?
q0142  07:07.1-07:07.4  Чего?
q0143  07:07.4-07:10.6  Я сказал, вы готовы к вечеринке?
q0144  07:10.9-07:22.7  Ой, как это весело, не носите обувь.
q0145  07:23.2-07:24.9  Я бы предпочла остаться в туфлях.
q0146  07:25.8-07:26.4  Прекрати!
q0147  07:26.9-07:28.7  Я же говорил, это болезнь.
q0148  07:31.0-07:33.5  Ты же говорил, это костюмированная вечеринка.
q0149  07:35.2-07:37.0  А как, по-твоему, что это?
q0150  07:37.9-07:39.4  Это индианка в саре.
q0151  07:39.4-07:41.3  Никто даже не заметит
q0152  07:41.3-07:42.6  Классный видец
q0153  07:42.6-07:45.4  Эй, Кевин, это костюм, так что остынь, ладно?
q0154  07:46.6-07:47.3  Кэрол
q0155  07:47.3-07:50.2  Я тоже себе возьму
q0156  07:50.2-07:52.0  Большое спасибо, спасибо
q0157  07:52.0-07:54.1  Это лайм, лимон, лук
q0158  07:54.1-07:56.4  Я вегетарианка, что мне можно съесть?
q0159  07:57.1-07:58.6  Здесь всё вегетарианское
q0160  07:58.6-07:59.8  Тогда я возьму хлеб
q0161  07:59.8-08:03.8  Вы руками подаете?
q0162  08:08.1-08:08.8  Фу
q0163  08:08.8-08:12.9  Слишком остро?
q0164  08:14.0-08:16.4  Нет, такие отвратительные сморы
q0165  08:16.4-08:18.6  Это не сморы, это самса
