q0001  00:30.0-00:31.0  Я не могу.
q0002  00:31.0-00:33.0  Удачи, Туна.
q0003  00:33.0-00:36.0  Простите меня, и я буду уничтожить тебя.
q0004  00:36.0-00:38.0  Это хорошо, Энди.
q0005  00:40.0-00:41.0  Это будет интересный?
q0006  00:41.0-00:43.0  Да, это будет очень интересный.
q0007  00:44.0-00:46.0  Все, я оттуда.
q0008  00:46.0-00:47.0  Увидимся.
q0009  00:47.0-00:48.0  Увидимся.
q0010  00:48.0-00:49.0  Увидимся.
q0011  00:54.0-00:55.0  Что это?
q0012  00:55.0-00:56.0  Что?
q0013  01:00.0-01:02.2  Привет.
q0014  01:02.6-01:04.0  Привет. Как прошёл забег?
q0015  01:04.1-01:05.7  Отлично. Я дошёл до финала.
q0016  01:05.9-01:06.7  Это прекрасно.
q0017  01:07.8-01:08.7  Чего прекрасного?
q0018  01:09.3-01:10.7  Он смог что-то завершить.
q0019  01:10.9-01:11.9  За сколько делаешь милю?
q0020  01:12.6-01:13.4  Минут за семь.
q0021  01:14.5-01:15.9  Я так на скейтборде могу.
q0022  01:16.3-01:17.4  Но у него есть колёса.
q0023  01:17.8-01:20.0  На моих ногах нет, но я всё равно тебя обгоню.
q0024  01:26.8-01:27.3  Серьёзно?
q0025  01:27.7-01:28.4  Я быстрый.
q0026  01:28.4-01:32.4  Чтобы вы поняли, насколько я где-то между змеёй и мангустом.
q0027  01:33.3-01:34.1  И пантерой.
q0028  01:35.2-01:36.7  Чёрт, чего Тоби так долго?
q0029  01:37.4-01:38.8  Я потом проверю его время.
q0030  01:39.2-01:40.5  И сравнишь результаты.
q0031  01:41.5-01:41.7  Да.
q0032  01:42.4-01:42.8  Ты готов?
q0033  01:43.0-01:43.3  Нет.
q0034  01:43.8-01:44.7  Ягодец из-за стекли.
q0035  01:44.8-01:45.5  Внимание, марш!
q0036  01:45.6-01:46.0  Я не могу!
q0037  01:50.1-01:51.9  Я поступила нечестно с Дуайтом.
q0038  01:53.7-01:54.2  Не знаю.
q0039  01:54.2-01:57.3  Я заставила его бегать вокруг здания, не собираясь засекать время.
q0040  01:58.4-02:00.7  Это даже не секундомер, это электронный градусник.
q0041  02:02.7-02:05.7  Он вытворял штуки похлеще, причём специально.
q0042  02:06.0-02:09.9  Например, хотел поставить счётчики на унитазы, чтобы сэкономить больше денег для компании.
q0043  02:11.4-02:13.1  Эй, ещё три круга!
q0044  02:14.4-02:16.7  Тебе стоит поторопиться, если хочешь обогнать Тоби.
q0045  02:19.0-02:20.6  Мне стоит вернуться к работе.
q0046  02:28.4-02:45.9  В ролях Стив Карл, Рейн Уилсон, Джон Красинский, Дженна Фишер и Би-Джей Новак.
q0047  02:52.9-02:54.3  Офис.
q0048  02:56.2-02:57.1  Сюда.
q0049  02:58.4-02:58.8  Кто тут?
q0050  02:58.9-02:59.7  Именною табличку.
q0051  02:59.9-03:00.6  Да, пожалуйста.
q0052  03:00.7-03:01.4  Карен Филиппелли.
q0053  03:01.5-03:02.2  Карен Филипп?
q0054  03:02.7-03:04.2  Карен Филиппелли!
q0055  03:04.5-03:05.5  Она, наверное, итальянка.
q0056  03:06.2-03:06.9  Может, филиппинка.
q0057  03:08.0-03:10.5  Мой филиал поглотил филиал Стэнфорда.
q0058  03:11.1-03:14.6  Можно сказать, моя семья удвоилась.
q0059  03:15.6-03:20.1  Вот всё, что я скажу об этом, потому что меня ждёт грандиозное представление,
q0060  03:20.3-03:23.9  и мне нужно собраться с мыслями и сосредоточиться.
q0061  03:25.8-03:26.7  Давай дальше.
q0062  03:26.7-03:28.3  Здесь Энди Бернард.
q0063  03:28.4-03:29.4  Энди Бернард.
q0064  03:29.5-03:30.4  На вашем месте.
q0065  03:30.6-03:31.7  Сен Бернар.
q0066  03:32.0-03:33.5  Я бы уволил Энтони Гарднера.
q0067  03:33.6-03:34.0  Что?
q0068  03:34.2-03:34.8  До полудня.
q0069  03:35.2-03:35.7  Я не...
q0070  03:35.7-03:36.4  Укрепление власти.
q0071  03:36.5-03:38.3  Я не буду увольнять кого-то в первый же день.
q0072  03:38.3-03:39.4  Нет, нет, нет, не кого-то.
q0073  03:39.5-03:40.1  Гарднера.
q0074  03:40.3-03:45.5  Охранники японских лагерей во Второй Мировой всегда убивали одного человека, когда приезжали новые заключенные.
q0075  03:46.8-03:49.5  Мне всегда было интересно, как они выбирали, кто умрет.
q0076  03:49.9-03:54.0  Думаю, я бы выбрал очень удачно.
q0077  03:55.9-03:56.6  Доброе утро.
q0078  03:56.7-03:58.3  Принесла еду? Хорошо.
q0079  03:59.1-04:01.1  Ну-ка, ну-ка, ну-ка, сделай вот что.
q0080  04:01.3-04:04.1  Отнеси всё в переговорную, расставь всё красиво,
q0081  04:04.5-04:07.4  будто пытаешься впечатлить старика, который тебе не по зубам.
q0082  04:07.6-04:08.0  Ладно.
q0083  04:10.0-04:12.3  Да, я сегодня в хорошем настроении.
q0084  04:12.3-04:15.5  Я волнуюсь перед встречей новичков.
q0085  04:16.5-04:18.6  И перед встречей со старым другом.
q0086  04:19.7-04:20.9  Это всегда радует людей.
q0087  04:21.3-04:22.4  Возвращение старого друга.
q0088  04:22.4-04:28.0  Динь-динь-динь-динь-динь, первый прибывший.
q0089  04:28.8-04:30.1  Добро пожаловать в Скрэнтон.
q0090  04:30.2-04:32.2  Это Ханна Смотрич Бар.
q0091  04:32.4-04:33.6  Ханна Смотрич Бар.
q0092  04:33.9-04:36.1  Приветствую в нашей скромной обители.
q0093  04:36.1-04:36.9  Смотрите, как я.
q0094  04:36.9-04:37.2  Смотрите, как я.
q0095  04:38.6-04:40.6  Твоя коля и шейна прямо здесь.
q0096  04:42.6-04:45.2  Вы знаете, многие из этих людей, это единственная семья, которые у них есть.
q0097  04:45.9-04:50.1  Так, так как я, я не знаю, это говорит, что это лучший отец.
q0098  04:52.4-04:55.3  А вот и он, Тони...
q0099  04:55.3-04:56.5  Гарднер.
q0100  04:56.5-04:59.4  Гарднер, я знаю, держите, Тони.
q0101  04:59.4-05:02.5  Гарднер, я знаю, держите подарочек для вас.
q0102  05:02.5-05:03.3  Ладно?
q0103  05:03.3-05:04.5  Я не получила подарок.
q0104  05:04.5-05:05.9  Ну, они только для гостей.
q0105  05:05.9-05:07.6  Если есть лишнего, вы можете купить их потом.
q0106  05:07.6-05:09.1  У меня в банке больше пенцилов.
q0107  05:09.1-05:11.1  И купоны.
q0108  05:11.1-05:13.0  В различных хорошее место в районе Скрэнтон.
q0109  05:13.0-05:15.9  Хорошо, я вам показал свою оборудованию, сэр.
q0110  05:15.9-05:17.6  Давай, большой парень.
q0111  05:17.6-05:19.1  Можно я купить твои пенцилы?
q0112  05:19.1-05:20.1  Нет.
q0113  05:20.1-05:21.1  Привет.
q0114  05:21.1-05:21.8  Привет.
q0115  05:21.8-05:22.2  Я Пэм.
q0116  05:22.3-05:22.8  Карен.
q0117  05:23.1-05:23.9  Чудесный свитер.
q0118  05:24.4-05:26.2  О, спасибо, это мне мама сделала.
q0119  05:26.6-05:27.6  Правда, так здорово.
q0120  05:27.8-05:29.3  Всегда хотела научиться так вязать.
q0121  05:29.4-05:30.7  Здрасте, здрасте, здрасте.
q0122  05:32.6-05:34.8  Отведи меня к своему лидеру.
q0123  05:35.0-05:37.4  О, стойте, я ваш лидер.
q0124  05:39.5-05:42.4  Стойте, вы робот или марсианин?
q0125  05:43.0-05:43.7  Да.
q0126  05:44.2-05:47.5  На самом деле, ваш босс Майкл Скотт.
q0127  05:47.7-05:48.5  Добро пожаловать.
q0128  05:48.8-05:51.0  О, у вас очень экзотическая внешность.
q0129  05:51.0-05:53.1  Ваш отец — американский солдат?
q0130  06:02.7-06:05.1  Я стану вторым номером здесь, в Скрэнтоне.
q0131  06:05.2-06:06.4  За шесть недель.
q0132  06:06.5-06:10.7  Как запоминать имена, чувствовать настроение и никогда не отказываться от рукопожатия?
q0133  06:11.4-06:12.9  Я всегда думаю на шаг вперёд.
q0134  06:13.5-06:13.8  Как?
q0135  06:15.0-06:16.8  Плотник, строящий лестницу.
q0136  06:16.8-06:21.3  Здравствуйте
q0137  06:21.3-06:26.7  А, вы должно быть Энди Бернард, Аллоха и добро пожаловать
q0138  06:26.7-06:30.5  А вы должно быть Майкл Скотт, Аллоха и Энд
q0139  06:30.5-06:31.9  Здравствуйте
q0140  06:31.9-06:37.3  Ага, очень хорошо, приветствую в нашем маленьком королевстве
q0141  06:37.3-06:40.1  У нас тут пакетик с классными подарками
q0142  06:40.1-06:45.5  Майкл, спасибо, что принимаете в вашем маленьком королевстве, Майк
q0143  06:45.5-06:48.0  Классно!
q0144  06:48.3-06:50.6  Они классные, классные подарки
