q0001  00:00.0-00:05.0  Она просто чудесная!
q0002  00:05.2-00:05.5  Он.
q0003  00:07.0-00:08.4  О, прости, он...
q0004  00:08.4-00:09.5  Он весь в розовом?
q0005  00:10.0-00:11.0  Это его любимый цвет.
q0006  00:12.1-00:12.3  О!
q0007  00:12.9-00:14.1  Ему идёт.
q0008  00:14.6-00:15.4  Фантастика.
q0009  00:16.0-00:18.0  Вы только посмотрите, как мило!
q0010  00:18.8-00:19.5  Спасибо.
q0011  00:20.4-00:21.1  Можно?
q0012  00:21.3-00:22.0  О, конечно.
q0013  00:25.4-00:27.2  Эй, смотрите на меня!
q0014  00:27.5-00:28.3  Я малыш!
q0015  00:28.7-00:31.2  Один из малышей, и смотрите, кто заговорил.
q0016  00:31.4-00:32.0  О чём я думаю?
q0017  00:33.3-00:34.8  Смотрите, какие степлеры.
q0018  00:35.0-00:36.7  Что такое степлер? Я и не знаю.
q0019  00:37.3-00:38.1  Я малыш.
q0020  00:38.5-00:39.3  Эй, мам!
q0021  00:40.2-00:41.2  Я пить хочу.
q0022  00:41.8-00:42.7  Хочу пить, мама.
q0023  00:43.1-00:43.8  Хочу молока.
q0024  00:44.4-00:46.2  А знаете, откуда берётся молоко?
q0025  00:46.2-00:47.8  Из грудей.
q0026  00:54.4-00:56.9  В ролях Стив Карл,
q0027  00:58.3-01:02.4  Рейн Уилсон
q0028  01:02.4-01:06.6  Джон Красинский
q0029  01:06.6-01:09.3  Дженна Фишер
q0030  01:09.3-01:12.5  И Би Джей Новак
q0031  01:12.5-01:20.4  Офис
q0032  01:20.4-01:23.3  Привет
q0033  01:23.3-01:24.3  Привет
q0034  01:24.3-01:27.9  Уже закончил?
q0035  01:28.3-01:29.9  Почти.
q0036  01:30.5-01:30.9  Да.
q0037  01:32.0-01:32.7  Вот.
q0038  01:33.5-01:33.8  Да.
q0039  01:34.4-01:36.0  Теперь я встречаюсь с Карен.
q0040  01:36.2-01:37.0  Это необычно.
q0041  01:37.6-01:43.0  И я не готов открыто говорить об этом, потому что если об этом начнут говорить,
q0042  01:43.7-01:46.3  это может кого-нибудь обидеть или...
q0043  01:47.4-01:48.5  Я не знаю.
q0044  01:49.9-01:51.0  Пока не готов.
q0045  01:52.0-01:54.2  Да, Джен, это похоже на чек.
q0046  01:54.7-01:56.4  Или какой-то кусочек бумаги.
q0047  01:56.8-01:57.5  Рецепт?
q0048  01:57.5-01:58.4  Не знаю.
q0049  01:58.7-02:00.7  Джен, это Анжела Мартин из бухгалтерии.
q0050  02:01.5-02:06.2  У нас вычеты с федеральной программы общественных работ, и никто не знает, что это такое.
q0051  02:06.8-02:08.8  Это деньги за нами бывшего заключённого.
q0052  02:10.0-02:11.5  Я не нанимал заключённых?
