q0001  00:00.3-00:01.4  Ладно, начнём.
q0002  00:02.5-00:05.8  Прежде всего, на этой неделе мы должны продвигать визитки.
q0003  00:05.9-00:09.2  Так что, давайте продвигать визитки на этой неделе.
q0004  00:09.6-00:12.0  Также, что это такое?
q0005  00:12.8-00:13.6  Это диктофон?
q0006  00:14.7-00:15.1  Зачем?
q0007  00:16.0-00:17.1  Чтобы записывать.
q0008  00:17.7-00:21.9  Майкл в отпуске, и он попросил меня записывать все совещания и делать расшифровки.
q0009  00:22.1-00:22.3  Ладно.
q0010  00:22.9-00:25.1  Карен, есть новости от той юридической фирмы?
q0011  00:25.2-00:27.5  Да, сделка закрыта вчера, договор на полгода.
q0012  00:27.5-00:29.1  Боже мой, Дуайт, что ты делаешь?
q0013  00:29.3-00:29.4  Что?
q0014  00:30.0-00:33.0  Тебе нельзя снимать штаны посреди офиса.
q0015  00:33.3-00:34.8  Я не снимаю.
q0016  00:35.0-00:37.1  Дуайт, просто отстань от меня, мне неудобно.
q0017  00:37.3-00:38.5  Кстати, это домогательство.
q0018  00:39.0-00:39.5  Боже мой.
q0019  00:40.0-00:40.8  У него нож.
q0020  00:40.9-00:41.9  Нет у меня ножа.
q0021  00:41.9-00:48.3  Нет, пусть запись покажет, что Дуайт Кашрут абсолютно голый и держит пластмассовый нож у горла Стэнли.
q0022  00:48.7-00:50.9  Пусть запись покажет, что Джим Халперт фрун.
q0023  00:51.5-00:53.4  На Дуайте Шруте сейчас детский чипчик.
q0024  00:53.5-00:54.3  Это не так.
q0025  00:54.3-00:55.7  О, к нам пришел Джим Керри.
q0026  00:55.9-00:57.4  Дуайт, возьми автограф для Майкла.
q0027  00:57.6-00:59.0  Никакого Джима Керри, ясно?
q0028  00:59.0-01:01.8  Уайт, что у тебя на животе? Татуировка Маппет Шоу?
q0029  01:01.9-01:05.0  Боже, Карен, ты права. Это животное из Маппет Шоу.
q0030  01:05.1-01:06.1  Вы не видите мой живот?
q0031  01:06.5-01:09.5  Я сейчас отпилю пилис голову бензопилой.
q0032  01:17.5-01:24.2  В ролях Стив Карл.
q0033  01:24.2-01:29.8  Рейн Уилсон
q0034  01:29.8-01:33.7  Джон Красинский
q0035  01:33.7-01:36.4  Дженна Фишер
q0036  01:36.4-01:39.3  И Би Джей Новак
q0037  01:39.3-01:47.8  Офис
q0038  01:54.2-01:57.8  Привет, Чувиха!
q0039  01:58.9-01:59.3  Привет.
q0040  02:00.6-02:03.2  У вас много сообщений, и очень мило.
q0041  02:03.5-02:05.0  Ханна уволилась, пока вас не было.
q0042  02:05.4-02:10.6  Думаю, она не выдержала трудностей в связи с тем, что она работающая мать, и вам надо будет дать объяснение.
q0043  02:10.9-02:12.1  Бла-бла-бла-бла-бла-бла.
q0044  02:12.9-02:14.5  Просто расслабься, ладно?
q0045  02:14.8-02:16.4  Ладно, я потом разберусь.
q0046  02:16.5-02:17.1  Это серьёзно.
q0047  02:17.2-02:19.0  Не спросишь меня, как там на Ямайке?
q0048  02:19.5-02:20.9  Скажи, спроси меня.
q0049  02:22.4-02:23.3  Как вам Ямайка?
