q0001  00:00.0-00:02.1  Чёрт!
q0002  00:02.7-00:04.4  Опять файл глючит.
q0003  00:05.6-00:07.2  Надо перезагрузиться ещё раз.
q0004  00:09.5-00:11.2  Эй, Дуайт, хочешь конфетку?
q0005  00:12.3-00:13.2  А ты как думаешь?
q0006  00:16.8-00:21.8  В школе нам рассказывали про учёного, который вызывал слюну у собаки по звонку.
q0007  00:22.2-00:24.5  Кормил их каждый раз, как звенел звонок.
q0008  00:24.5-00:30.0  И в последнюю пару недель я проводил сходный эксперимент.
q0009  00:30.0-00:33.9  Дуайт, хочешь конфетку?
q0010  00:34.2-00:34.4  Ладно
q0011  00:34.4-00:38.7  Конфетку?
q0012  00:38.8-00:39.2  Конечно
q0013  00:39.2-00:43.2  Конфетку?
q0014  00:43.9-00:44.4  Конфетку?
q0015  00:45.7-00:46.1  Да
q0016  00:46.1-00:53.8  Что ты делаешь?
q0017  00:56.4-00:57.1  Я...
q0018  00:57.1-00:57.9  Что?
q0019  00:58.3-00:59.8  Не знаю, я...
q0020  00:59.8-01:03.3  Такой странный привкус во рту.
q0021  01:05.3-01:06.2  Да.
q0022  01:06.2-01:30.4  В ролях Стив Карл, Рейн Уилсон, Джон Красинский, Дженна Фишер и Би Джей Новак.
q0023  01:36.2-01:39.5  Офис
q0024  01:39.5-01:43.4  Как всегда, подружки и невесты, верно, дамы?
q0025  01:44.2-01:47.1  Ладно, для следующей все разошлись, только Филлис и отец.
q0026  01:48.6-01:53.8  Давайте, мама вернётся, и сёстры, и вы, и вы, и вы.
q0027  01:56.4-01:57.1  Отлично.
q0028  01:57.6-01:58.8  Филлис выходит замуж.
q0029  01:59.3-02:00.6  И я гуляю на свадьбе.
q0030  02:01.1-02:03.8  Она попросила подвезти кресло её отца к алтарю.
q0031  02:03.8-02:06.7  Так что фактически я тоже отдаю невесту.
q0032  02:07.2-02:11.9  Я плачу ей зарплату и вроде как оплачиваю свадьбу.
q0033  02:12.1-02:13.5  И это приносит мне счастье.
q0034  02:13.8-02:16.4  Это большой день для Филлис, но ещё больше день для меня.
q0035  02:17.6-02:19.0  Работодатель невесты.
q0036  02:20.1-02:23.0  Да, я пригласила Майкла на свадьбу.
q0037  02:23.6-02:27.2  Только так я смогла получить шесть недель отпуска на медовый месяц.
q0038  02:28.5-02:30.6  Никому раньше не давали шести недель.
q0039  02:30.6-02:36.3  Филлис в итоге использовала такие же приглашения, что и мы с Роем.
q0040  02:37.5-02:40.1  Это было как приглашение на собственную свадьбу.
q0041  02:41.3-02:44.6  И я подумала, стоп, кажется, я её отменила.
q0042  02:46.8-02:48.0  Так что в коробке?
q0043  02:48.4-02:49.6  Тостер. А у вас?
q0044  02:50.8-02:51.6  Тостер.
q0045  02:52.7-02:53.4  Невероятно.
q0046  02:56.9-02:57.9  Здравствуй, Анжела.
q0047  02:58.3-02:58.8  Привет, Дуайт.
q0048  02:59.8-03:01.7  Ты красива, как королева Англии.
q0049  03:02.8-03:03.4  Благодарю.
q0050  03:04.3-03:05.9  Не задерживайся. Левая сторона.
q0051  03:08.1-03:08.6  Левая.
q0052  03:14.4-03:16.6  У Шрутов есть свои традиции.
q0053  03:17.4-03:19.6  Мы женимся стоя на наших могилах.
q0054  03:20.1-03:22.0  Похороны, потом очень романтические.
q0055  03:22.7-03:24.8  Но свадьбы – штука суровая.
q0056  03:26.4-03:27.7  Очень милые цветы.
q0057  03:28.2-03:28.4  Да.
q0058  03:28.8-03:29.7  Пи-Айр.
q0059  03:31.1-03:32.0  Филлис Пей и Роберт.
q0060  03:32.3-03:33.4  О, конечно.
q0061  03:34.6-03:35.6  Ещё помырой.
q0062  03:38.6-03:39.7  Вот она.
q0063  03:41.4-03:45.3  Клянусь, Филлис, ты красива, как в первый день работы в Дандер Мифлен.
q0064  03:46.0-03:47.6  Спасибо, Майкл, очень мило.
q0065  03:48.2-03:50.5  Так же, как когда ты сказал это снаружи.
q0066  03:51.1-03:51.7  Как дела?
q0067  03:52.8-03:53.4  Волнуешься?
q0068  03:53.7-03:54.3  Да, очень.
q0069  03:54.6-03:55.1  Я тоже.
q0070  03:56.0-03:59.0  Если тебя сейчас тошнит, это нормально.
q0071  03:59.4-04:00.2  Меня стошнило.
q0072  04:00.5-04:02.6  Хочешь поговорить о сегодняшней ночи?
q0073  04:02.9-04:03.3  Нет.
q0074  04:03.7-04:06.6  Потому что я знаю, ты беспокоишься, как всё пройдёт с Бобом.
q0075  04:06.8-04:07.6  Такое давление.
q0076  04:10.2-04:11.9  Элис, ты испортила воздух.
q0077  04:13.0-04:14.5  Если да, всё в порядке.
q0078  04:14.6-04:15.9  Это естественная реакция.
q0079  04:16.4-04:18.7  У тебя свадьба, и ты нервничаешь.
q0080  04:19.9-04:21.2  Это была не я.
q0081  04:22.5-04:23.0  Хорошо.
q0082  04:24.0-04:24.7  Я...
q0083  04:24.7-04:25.3  Я...
q0084  04:25.3-04:28.7  уверен, что Боб...
q0085  04:29.9-04:31.7  О, это...
q0086  04:32.8-04:34.8  глаза режет.
q0087  04:36.5-04:38.3  Я потерял нить мысли.
q0088  04:39.9-04:42.2  Это ты сделала такую прическу?
q0089  04:42.5-04:43.8  Я думала, что...
q0090  04:43.8-04:44.9  Так, дай мне...
q0091  04:44.9-04:45.7  Майкл, нет.
q0092  04:45.8-04:47.4  Просто прикрой проплешинку.
q0093  04:47.5-04:48.8  Нет, Майкл, пожалуйста.
q0094  04:49.0-04:50.2  Мне нужно побыть одной.
q0095  04:50.8-04:51.6  Ладно, ладно.
q0096  04:51.6-04:55.3  Вы можете удивиться, но раньше я был только на одной свадьбе.
q0097  04:56.4-04:57.8  Это очень интересная история.
q0098  04:58.2-05:01.8  Моя мама выходила за Джеффа, и они попросили меня держать кольца.
q0099  05:02.3-05:07.0  Понятно, что я волновался, и каким-то образом мои штаны стали мокрыми.
q0100  05:09.0-05:10.3  Я тебя ненавижу!
q0101  05:24.5-05:26.3  И никто не сказал «фу».
q0102  05:26.3-05:27.7  Почему здесь все эти люди?
q0103  05:28.7-05:30.1  На Земле слишком много людей.
q0104  05:30.6-05:31.3  Нужна новая чума.
q0105  05:32.2-05:33.1  Кто все эти люди?
q0106  05:34.3-05:35.0  Знаешь что?
q0107  05:35.7-05:37.7  Думаю, многие из них незваные гости.
q0108  05:38.0-05:38.7  Не может быть.
q0109  05:38.9-05:39.6  Ты смотрел этот фильм?
q0110  05:39.8-05:40.0  Конечно.
q0111  05:40.3-05:41.9  Я случайно смотрел незваных гостей.
q0112  05:41.9-05:44.9  Я купил билет на Человека Гризли и зашёл в другой кинотеатр.
q0113  05:45.3-05:47.6  Через час я понял, что ошибся, но продолжал ждать.
q0114  05:48.0-05:50.4  Потому что в этом суть нападения медведя.
q0115  05:50.7-05:52.1  Они случаются, когда их не ждёшь.
q0116  05:52.7-05:57.2  Знаешь, хотел бы я, чтобы у меня были способности, чтобы разоблачить этих парней.
q0117  05:57.6-05:58.0  Понимаешь?
q0118  06:00.8-06:02.9  Ещё раз, Джим, я об этом позабочусь.
q0119  06:03.9-06:07.1  Я опознаю незваных гостей и доложу о них Филлис.
q0120  06:08.4-06:10.4  Тогда мне не придётся дарить ей подарок.
q0121  06:11.1-06:12.1  Привет, я Кевин.
q0122  06:14.7-06:15.9  Где ты её нашёл?
q0123  06:17.0-06:17.8  Ренажёрки.
q0124  06:19.2-06:19.9  Конечно.
q0125  06:22.1-06:22.9  Ренажёрка.
q0126  06:25.0-06:27.7  Можешь подвинуться? Ты сидишь на моём платье.
q0127  06:28.0-06:30.0  Нельзя надевать белое на свадьбу.
q0128  06:30.3-06:31.7  Знаю, но у меня экстренный случай.
q0129  06:32.3-06:34.0  Я хорошо выгляжу в белом.
q0130  06:35.3-06:38.3  Этот дюжий парень здесь – отец Филлис Элберт.
q0131  06:38.3-06:40.0  И он дамский угодник.
q0132  06:40.0-06:41.3  Так ведь, Элберт, а?
q0133  06:41.7-06:42.9  А, держатель колец.
q0134  06:43.4-06:44.6  Я смогу лучше.
q0135  06:45.8-06:46.8  Я сделаю лучше?
q0136  06:47.8-06:49.5  У меня получится лучше.
q0137  06:49.9-06:51.4  Поверить не могу, что я это делаю.
q0138  06:52.1-06:53.9  Вы готовы к этому, Элберт?
q0139  06:54.6-06:55.8  Я готов.
q0140  06:56.9-06:58.0  Ну...
q0141  06:58.0-07:07.2  Это моё платье.
q0142  07:10.0-07:26.2  Нет, нет.
q0143  07:27.0-07:29.1  Все хорошо, я сам.
q0144  07:32.2-07:33.7  Это чудо.
q0145  07:40.0-07:48.0  Это...
q0146  07:48.5-07:54.5  Мой проход с Филлис к алтарю должен был стать изюминкой свадьбы.
q0147  07:54.7-07:56.2  А теперь...
q0148  07:56.2-07:57.4  У свадьбы нет изюминки.
q0149  07:57.4-08:06.1  Поверить не могу
q0150  08:06.1-08:08.9  Что я возил этого...
q0151  08:08.9-08:11.1  Эту ленивую задницу весь день
q0152  08:11.1-08:13.2  Пока он не приготовился
q0153  08:13.2-08:15.6  Не встал и не украл у меня шоу
q0154  08:15.6-08:16.6  Это...
q0155  08:16.6-08:19.0  Ну, у меня есть новости для тебя, Элберт
q0156  08:19.0-08:21.2  Если это настоящее имя
q0157  08:21.2-08:22.9  Шоу не закончено
q0158  08:57.4-09:03.8  А ты, Филлис, берёшь Боба Вэнса из холодильника Вэнса в свои законные мужья?
q0159  09:05.0-09:05.4  Беру.
q0160  09:05.6-09:11.9  Дамы и господа, представляю вам в первый раз как пару мистер и миссис Боб Вэнс!
q0161  09:19.3-09:23.2  А ты, Боб, берёшь ли Филлис в свои законные жёны?
q0162  09:24.1-09:24.5  Беру.
q0163  09:25.1-09:26.5  Теперь можете поцеловаться.
q0164  09:26.5-09:30.3  Дамы и господа, в первый раз как пара мистер и миссис Боб Лэнс.
q0165  09:34.2-09:36.0  Вот о чём я говорил.
q0166  09:37.7-09:38.6  Поздравляю, Филлис.
q0167  09:40.0-09:41.1  Прекрасно выглядишь.
q0168  09:42.4-09:45.7  Моё платье такое белое, мне даже глаза слепит.
q0169  09:46.1-09:47.1  Спасибо, Анжела.
q0170  09:47.7-09:48.6  Поздравляю, Боб.
q0171  09:49.0-09:51.2  Ты хороший человек, но ты знай,
q0172  09:51.8-09:54.7  если ты хоть пальцем тронешь, Филлис, я тебя убью.
q0173  09:54.7-09:58.3  Если ты хоть пальцем тронешь Филлис, я тебя убью.
q0174  09:59.3-09:59.9  Согласен.
q0175  10:00.4-10:01.9  Никто не трогает Филлис пальцами.
q0176  10:03.5-10:05.1  Решили снова присесть, а?
q0177  10:05.3-10:05.8  Отлично.
q0178  10:06.3-10:07.7  Держу пари, вы меня слышите.
q0179  10:08.5-10:09.0  Всех благ.
q0180  10:09.3-10:12.6  Ещё мне надо увидеть копию списка гостей и фотографии всей обслуги.
q0181  10:13.7-10:14.9  У меня этого нет, Дуайт.
q0182  10:15.5-10:16.5  Проклятий, Филлис.
q0183  10:18.6-10:19.6  Ты в порядке?
q0184  10:20.0-10:21.8  Для тебя это должно быть так ужасно.
q0185  10:22.1-10:22.6  О чём ты?
q0186  10:22.6-10:24.7  Но это должна была быть твоя свадьба.
q0187  10:25.9-10:26.6  Нет, это...
q0188  10:27.1-10:28.8  Всё...
q0189  10:28.8-10:30.0  Всё хорошо.
