q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:31.9  Рой! Рой!
q0003  00:33.3-00:34.4  Боже!
q0004  00:41.4-00:44.2  Бэм, вызови охрану!
q0005  00:45.1-00:50.8  Каждый день в течение восьми лет я приносил в офис газовый баллончик, чтобы защитить себя и сотрудников.
q0006  00:51.8-00:55.1  И каждый день в течение восьми лет надо мной смеялись.
q0007  00:55.7-00:58.1  Кто теперь будет смеяться?
q0008  01:00.0-01:07.3  Офис. Не надо пугаться, всё под контролем.
q0009  01:08.0-01:12.4  Майкл, в прошлую пятницу один из твоих работников напал на другого в твоём офисе.
q0010  01:12.9-01:16.1  Это из-за ревности, Джен, а не из-за недовольства.
q0011  01:16.9-01:18.7  У меня все всем довольны.
q0012  01:20.1-01:20.7  Тоби, здесь?
q0013  01:21.6-01:22.0  Нет.
q0014  01:22.4-01:23.3  Я здесь, Джен.
q0015  01:24.0-01:25.2  Какова ситуация, Тоби?
q0016  01:25.8-01:27.9  Мы уволили Роя, естественно.
q0017  01:27.9-01:31.8  А Джим не будет предъявлять обвинения ему или компании.
q0018  01:31.9-01:32.5  Слава богу.
q0019  01:32.8-01:35.5  Да, но теперь у Дэрила проблемы с...
q0020  01:35.5-01:39.9  Нет, он уже пару месяцев ждёт прибавки и использует Роя как давление.
q0021  01:41.6-01:42.7  Вы с этим разберётесь?
q0022  01:43.1-01:43.8  Агашеньки?
q0023  01:44.3-01:45.9  Что я тебе говорила про Агашеньки?
q0024  01:48.6-01:49.7  Я не помню.
q0025  01:49.9-01:51.9  Не говорит так. Теперь помнишь?
q0026  01:52.4-01:53.1  Агась?
q0027  01:53.1-01:58.7  Я не хочу об этом говорить
q0028  01:58.7-02:04.9  Не хочу показаться грубой, но мне не хочется комментировать произошедшее
q0029  02:04.9-02:08.5  Это отстой
q0030  02:08.5-02:17.9  Ну, судя по всему, мне повезло, что там был Дуайт
q0031  02:17.9-02:21.6  А Рою повезло, что Дуайт использовал баллончик
q0032  02:21.6-02:24.1  А не нончаки или сюрикены.
q0033  02:29.6-02:31.7  Слушай, я не успел тебя поблагодарить.
q0034  02:32.4-02:34.2  Это необязательно и поэтому неприемлемо.
q0035  02:34.6-02:36.4  Я увидел нарушителя закона и вмешался.
q0036  02:38.5-02:39.1  Ладно.
q0037  02:40.9-02:41.6  Я...
q0038  02:41.6-02:43.3  Кое-что принёс.
q0039  02:43.4-02:45.1  Не хочу, не открою, не надо, не возьму.
q0040  02:45.4-02:47.9  Граждане не принимают награды за то, что они граждане.
q0041  02:51.6-02:54.9  Не зовите меня героем.
q0042  02:55.5-02:56.9  Вы знаете, кто настоящий герой?
q0043  02:57.6-03:01.3  Люди, которые просыпаются каждое утро, идут на обычную работу,
q0044  03:01.6-03:03.6  потом получают какой-нибудь сигнал бедствия,
q0045  03:04.1-03:07.4  снимают очки, надевают плащ и летят бороться с преступностью.
q0046  03:08.2-03:09.6  Вот настоящие герои.
q0047  03:10.4-03:12.2  Не могу поверить, что пропустил драку.
q0048  03:12.6-03:13.3  Это было безумие.
q0049  03:13.7-03:14.0  Боже.
q0050  03:14.2-03:14.6  Ты видел?
q0051  03:16.2-03:17.2  Попиши, пожалуйста.
q0052  03:20.8-03:21.6  Ну...
q0053  03:21.6-03:28.1  Я услышал крики, увидел Роя у приёмной, и стало ясно, что он кого-нибудь побьёт.
q0054  03:28.2-03:29.3  Джим что-то сказал.
q0055  03:30.0-03:34.3  Рой остановился вон там, и вдруг бам, Рой падает, а Дуайт стоит как герой боевика.
q0056  03:35.1-03:35.6  Сумасшествие.
q0057  03:37.1-03:37.6  Сумасшествие.
q0058  03:40.2-03:42.9  Что ж, молодец, Дуайт.
q0059  03:44.4-03:49.7  Давай, ты будешь Дэрилом и будешь просить прибавки, а я опробую на тебе тактику переговоров.
q0060  03:50.2-03:51.1  Откуда вы её взяли?
q0061  03:51.1-03:55.2  Из Википедии. Википедия — лучшая в мире штука.
q0062  03:56.2-04:00.3  Кто угодно может написать по теме, что хочет.
q0063  04:00.8-04:04.4  Так что вы получите самые лучшие сведения.
q0064  04:05.6-04:07.8  Ладно, Дэрил, спроси у меня прибавку.
q0065  04:08.2-04:11.8  Эй, Майк, Рой ушёл, я работаю всё больше, мне нужна прибавка.
q0066  04:12.4-04:15.1  Это интересно, Дэрил. Я думаю...
q0067  04:19.2-04:20.3  Не слышу.
q0068  04:20.3-04:22.3  Я говорю, что...
q0069  04:25.9-04:28.2  И опять нет.
q0070  04:29.0-04:30.3  Вот видишь, что я сделал?
q0071  04:30.8-04:31.1  Нет.
q0072  04:31.7-04:33.5  Я отклонился назад и зашептал,
