q0001  00:00.0-00:02.0  Медведи
q0002  00:02.0-00:14.5  Как-то мутно.
q0003  00:17.8-00:19.8  Так лучше.
q0004  00:25.0-00:26.6  Вопрос.
q0005  00:26.6-00:29.0  Какой вид медведя лучший?
q0006  00:30.0-00:31.4  Это глупый вопрос.
q0007  00:31.7-00:33.2  Наверное, черный медведь.
q0008  00:33.6-00:34.3  Это спорно.
q0009  00:35.1-00:36.4  На этот счет есть две школы.
q0010  00:36.7-00:37.1  Факт.
q0011  00:37.5-00:38.8  Медведи едят свеклу.
q0012  00:39.5-00:40.1  Медведи.
q0013  00:40.6-00:41.2  Свекла.
q0014  00:41.7-00:42.9  Звездный крейсер Галактика.
q0015  00:42.9-00:44.3  Медведя не...
q0016  00:44.3-00:45.3  Что происходит?
q0017  00:45.9-00:46.9  Что ты делаешь?
q0018  00:47.5-00:50.0  На прошлой неделе я был в аптеке и увидел эти очки.
q0019  00:50.6-00:51.5  Четыре доллара.
q0020  00:52.9-00:56.5  Семь долларов мне стоил весь остальной прикид, и самая большая трата...
q0021  00:56.5-01:00.4  Дорогие дарят 11 долларов.
q0022  01:01.2-01:04.6  Знаешь что, имитация – самоискренняя форма лести, так что спасибо.
q0023  01:06.7-01:08.4  Кража личности не шутка, Джим.
q0024  01:09.2-01:11.2  Миллионы семей страдают каждый год.
q0025  01:12.5-01:13.0  Майкл?
q0026  01:13.7-01:14.6  Это не смешно.
q0027  01:15.0-01:15.6  Майкл?
q0028  01:21.5-01:23.7  В ролях Стив Карл.
q0029  01:26.5-01:38.9  Рейн Уилсон, Джон Красинский, Дженна Фишер и Би-Джей Новак.
q0030  01:45.9-01:47.3  Офис.
q0031  01:48.7-01:49.8  Да, я понимаю.
q0032  01:50.9-01:52.4  Перевести вас на клиентский отдел?
q0033  01:52.5-01:54.6  Разумеется, я искренне сожалею об этом.
q0034  01:54.6-01:57.4  Знаю, знаю. Мы пытаемся во всем разобраться.
q0035  01:58.1-02:00.9  Да, я расстроен. У меня нерастроенный голос.
q0036  02:01.1-02:01.3  Ладно.
q0037  02:01.4-02:03.6  Это отвратительно. Полностью солидарен.
q0038  02:04.2-02:06.4  Мы отзовем всю эту бумагу.
q0039  02:07.1-02:08.1  У нас кризис.
q0040  02:09.0-02:11.8  Видимо, обиженный работник бумажной фабрики решил,
q0041  02:12.1-02:17.8  что будет смешно поместить неприличный водяной знак на кремовую бумагу для писем.
q0042  02:18.8-02:22.7  Отгружено 500 коробок с картинкой прекрасной мультяшной утки
q0043  02:22.7-02:31.0  исполняющий отвратительные действия с определенной мультяшной мышью,
q0044  02:31.3-02:32.5  любимой столь многими.
q0045  02:33.6-02:34.8  Никогда не был фанатом.
q0046  02:35.5-02:36.4  Все заходим сюда.
q0047  02:38.3-02:39.4  Нельзя терять время.
q0048  02:40.8-02:43.2  Криз Упр Кома, Б и С.
q0049  02:43.3-02:44.1  Криз Упр Кома?
q0050  02:44.2-02:44.9  Двойное время.
q0051  02:45.0-02:46.1  Б и С, двойное время.
q0052  02:46.1-02:47.5  Команда кризисного управления.
q0053  02:47.7-02:49.9  Быстро сюда, в два раза быстрее, чем обычно.
q0054  02:50.0-02:50.5  Есть вопросы?
q0055  02:50.5-02:52.0  Только один. Зачем вы так говорите?
q0056  02:52.0-02:53.4  Чтобы сэкономить время, Джим.
q0057  02:53.5-02:55.8  Думаю, вы не будете спорить, что это трата времени.
q0058  02:56.1-02:57.3  Да, она полностью права.
q0059  02:57.5-03:00.9  Например, ваша последняя фраза «Временное объяснение занялше время».
q0060  03:00.9-03:01.9  Ладно, ладно, ладно.
q0061  03:03.2-03:04.0  Знаете что?
q0062  03:05.1-03:06.1  Забудем. Где Крит?
q0063  03:06.5-03:06.9  Крит?
q0064  03:07.0-03:07.5  Здесь.
q0065  03:07.9-03:09.4  Контроль качества. Твоя работа.
q0066  03:09.8-03:11.9  Я думаю, ты крупно облажался, Крит.
q0067  03:12.4-03:13.4  Именно из-за тебя.
q0068  03:14.3-03:16.2  Вся компания под ударом.
q0069  03:18.0-03:21.9  Каждую неделю я должен проводить 4 часа проверки на бумажной фабрике.
q0070  03:22.0-03:26.6  И, конечно, в тот год, когда я забил на это, случается такое.
q0071  03:27.0-03:29.3  У нас полно разгневанных заказчиков.
q0072  03:29.3-03:31.9  Это значит, у нас уровень угрозы полночь.
q0073  03:32.3-03:34.5  Бухгалтерия, вы сегодня на клиентских звонках.
q0074  03:34.6-03:35.7  Это не совсем наша работа.
q0075  03:35.7-03:36.5  Полночь, Оскар.
q0076  03:37.7-03:39.6  Не волнуйся, Келли вас подготовит.
q0077  03:39.6-03:40.8  Келли нас подготовит?
q0078  03:42.1-03:43.4  Это день безумный.
q0079  03:44.9-03:45.6  Безумный.
q0080  03:45.7-03:47.2  Это день безумный.
q0081  03:48.2-03:48.8  Безумный.
q0082  03:48.8-03:52.1  У меня не болит голова.
q0083  03:54.1-03:54.8  Я просто готовлюсь.
q0084  03:56.8-03:58.8  Джим, в твоём доме большой пожар.
q0085  03:59.1-04:00.9  Твой клиент – высшая школа Данмор.
q0086  04:01.3-04:03.7  Разослала приглашение на выпуск на этой бумаге.
q0087  04:04.0-04:04.7  Отправишься к детям.
q0088  04:04.8-04:05.9  Да, я уже созвонился.
q0089  04:05.9-04:07.0  Нет, нет, нет, недостаточно.
q0090  04:07.2-04:08.1  Это основной клиент.
q0091  04:08.4-04:10.0  Я хочу, чтобы ты съездил лично.
q0092  04:10.5-04:10.8  Хорошо.
q0093  04:11.0-04:12.4  Я хочу, чтобы ты взял напарника.
q0094  04:12.5-04:12.9  Я поеду.
q0095  04:13.0-04:15.4  Нет, милашка, нам нужен тот, кто заключил сделку.
q0096  04:15.6-04:16.5  Энди, ты поедешь.
q0097  04:16.5-04:18.5  Чип и Дейл к вам спешат на помощь.
q0098  04:18.8-04:20.0  Помогу, чем смогу.
q0099  04:21.5-04:22.7  Да, я лучше один съезжу.
q0100  04:22.9-04:23.6  Нет, нет.
q0101  04:23.8-04:25.3  На это нужно два человека.
q0102  04:25.5-04:26.7  Гусары молчать.
q0103  04:26.9-04:27.4  Нет времени.
q0104  04:27.7-04:28.6  Поручик дуэль.
q0105  04:29.0-04:29.5  Нет времени.
q0106  04:29.8-04:32.9  Парни, займитесь дуайт, отвечаешь за пресс-конференцию.
q0107  04:33.0-04:33.4  Да.
q0108  04:33.9-04:34.9  Урежу правду мотку.
q0109  04:35.8-04:36.0  Нет, Пэм.
q0110  04:36.0-04:37.4  У нас будет пресс-конференция?
q0111  04:37.8-04:39.5  Пусть пресса сама обо всём узнает.
q0112  04:40.8-04:41.3  Нет.
q0113  04:42.4-04:43.3  Только вот в чём.
q0114  04:43.4-04:46.6  Когда компания лажает, лучше всего собрать пресс-конференцию.
q0115  04:46.6-04:49.5  Собери прессу и история под твоим контролем.
q0116  04:49.8-04:52.7  Дождешься, пока они узнают, и ты под контролем истории.
q0117  04:53.1-04:54.6  Так случилось с О'Джеем.
q0118  04:55.0-04:59.8  Я пригласил Барбару Аллен, одну из наших старейших клиенток, чтобы извиниться перед ней лично.
q0119  05:00.2-05:02.7  Пресса хочет историю, я дам им историю.
q0120  05:04.3-05:05.8  Пресса просила историю?
q0121  05:06.4-05:07.9  Вот ваши заголовки.
q0122  05:24.9-05:26.1  Вперёд, вперёд, вперёд, вперёд!
q0123  05:26.7-05:30.7  Да, алло, Крит Бреттон, контроль качества, Дандер Мифлен, Скрэнтон.
q0124  05:31.0-05:35.2  Я должен был встретиться с вашим менеджером группы на прошлой неделе для проверки качества,
q0125  05:35.3-05:37.7  но его или её не было на месте.
q0126  05:39.0-05:41.0  Я пытаюсь вспомнить, кто это был.
q0127  05:42.1-05:43.8  Кого не было на прошлой неделе?
q0128  05:45.6-05:46.7  Дебби Браун?
q0129  05:47.2-05:48.4  Какой это был день?
q0130  05:49.1-05:51.3  Среда 11. Прекрасно.
q0131  05:51.6-05:54.2  Единственная разница между мной и бездомным – это работа.
q0132  05:54.5-05:56.1  Я сделаю что угодно для выживания.
q0133  05:56.8-05:59.1  Как я делал, когда был бездомным.
q0134  06:00.1-06:02.4  Я знаю причину, по которой вы стали бухгалтерами,
q0135  06:02.5-06:04.3  потому что вы плохо сходитесь с людьми.
q0136  06:04.4-06:05.1  Но знаете что?
q0137  06:05.3-06:07.0  С этого момента вы больше не лузеры,
q0138  06:07.0-06:08.6  так что поаплодируйте себе.
q0139  06:11.7-06:13.4  Интересно, сколько звонков ты пропустишь,
q0140  06:13.4-06:15.0  пока учишь нас отвечать на звонки.
q0141  06:15.1-06:15.8  Я знаю, ясно?
q0142  06:15.9-06:16.6  Наверняка много.
q0143  06:17.0-06:19.0  Можешь просто сказать, что делать, и мы пойдём.
