q0001  00:00.0-00:01.7  Привет. Привет.
q0002  00:06.7-00:07.7  Что это?
q0003  00:08.7-00:09.4  Выговор.
q0004  00:10.6-00:12.5  Опоздание Джима Халперта.
q0005  00:13.7-00:14.5  Прикольно.
q0006  00:15.2-00:18.0  Пойми, Джим, ты замначальника, но ты не выше закона.
q0007  00:18.5-00:19.3  Понимаю.
q0008  00:19.8-00:21.4  Кстати, у меня есть вопросы.
q0009  00:21.9-00:23.3  Что значит этот выговор?
q0010  00:24.5-00:25.3  Скажем так.
q0011  00:25.7-00:27.4  Это первый из трех возможных.
q0012  00:27.6-00:28.1  Выкладывай.
q0013  00:28.1-00:30.1  Три выговора и получишь отчет.
q0014  00:30.1-00:31.1  Это уже серьезно.
q0015  00:31.1-00:33.1  Это очень серьезно.
q0016  00:33.1-00:36.1  Пять отчетов и будет тебе нарушение.
q0017  00:36.1-00:39.1  Четыре нарушения – будет устный выговор.
q0018  00:39.1-00:41.1  Далее получишь письменный выговор.
q0019  00:41.1-00:44.1  Два письменных и тебе не поздоровится.
q0020  00:44.1-00:51.1  Я напишу дисциплинарный доклад и положу на стол своего непосредственного начальника, то есть мне.
q0021  00:51.1-00:53.1  Верно.
q0022  00:53.1-00:57.0  Так, копия доклада должна быть на моём столе до конца дня,
q0023  00:57.0-00:59.6  а не то получишь полную депоклонацию.
q0024  00:59.6-01:04.7  Какую депо... что это?
q0025  01:04.7-01:05.9  Лучше тебе не знать.
q0026  01:05.9-01:32.6  В ролях Стив Карл, Рейн Уилсон, Джон Красинский, Дженна Фишер и Би Джей Новак.
q0027  01:35.9-01:41.0  Офис
q0028  01:41.0-01:49.9  Привет, Филлис. Что с тобой?
q0029  01:50.5-01:52.7  Ко мне натурщик пристал.
q0030  01:53.9-01:55.5  Что? Правда?
q0031  01:56.5-01:57.6  На стоянке.
q0032  01:57.9-01:58.8  Господи!
q0033  02:00.0-02:00.7  С дороги!
q0034  02:00.7-02:00.8  С дороги!
q0035  02:02.4-02:04.6  Я вызову настоящую полицию.
q0036  02:04.7-02:05.8  Что случилось?
q0037  02:05.9-02:07.1  Чем я могу помочь?
q0038  02:08.9-02:10.8  Я проверю в инете.
q0039  02:12.1-02:13.0  Спасибо.
q0040  02:14.9-02:17.7  Полиция уже занимается, уже третий такой вызов.
q0041  02:19.5-02:20.7  А что случилось?
q0042  02:22.6-02:26.3  Я подходила к зданию, и мужчина спросил у меня дорогу.
q0043  02:27.5-02:29.4  Он держал карту.
q0044  02:30.4-02:35.8  Когда я подошла, он выложил его прямо на карту.
q0045  02:35.9-02:38.6  Филлис, ты же замужняя женщина.
q0046  02:39.0-02:41.9  Парнишка выпустил пташку на воздух. Что здесь такого?
q0047  02:43.0-02:45.2  Если это извращение, то заприте меня.
q0048  02:46.0-02:47.1  Это так противно.
q0049  02:49.2-02:50.4  Что случилось?
q0050  02:51.3-02:54.1  Какой-то парень разделся перед Филлис на парковке.
q0051  02:55.2-02:56.6  Серьезно? Она в порядке?
q0052  02:57.0-02:59.6  Да, Боб Фэнс повел ее пройти, чтобы она успокоилась.
q0053  03:00.2-03:00.7  Ладно.
q0054  03:04.1-03:05.3  Филлис, говорите?
q0055  03:05.9-03:10.6  Что смешного?
q0056  03:11.4-03:13.6  Ну, он Пэм видел?
q0057  03:14.5-03:16.5  Или Карен сзади?
q0058  03:17.5-03:18.5  Полагаю, нет
q0059  03:18.5-03:24.1  Простите
q0060  03:24.1-03:29.9  Забавно, если вдуматься
q0061  03:29.9-03:31.5  Не смешно
q0062  03:31.5-03:32.9  Вообще, это отвратительно
q0063  03:32.9-03:35.0  Ладно, мастера комедии
q0064  03:35.0-03:36.7  Парень скинул штаны.
q0065  03:37.3-03:38.7  Вы в цирке вообще бывали?
q0066  03:40.3-03:40.9  Ладно.
q0067  03:46.1-03:47.8  Он вернулся.
q0068  03:55.8-03:59.2  Там полицейская машина на...
q0069  03:59.2-03:59.7  Что?
q0070  04:02.3-04:04.0  Что происходит?
q0071  04:04.0-04:07.0  О, Филлис ослепили. Это...
q0072  04:08.2-04:10.6  Не думаю, что смех это адекватная реакция.
q0073  04:11.7-04:15.0  Брось. Мы смеемся над Филлис, а ее тут даже нет.
q0074  04:15.7-04:17.1  Нет ущерба, нет нарушений.
q0075  04:17.5-04:20.4  Между прочим, а ты где был? Может, это твоя работа?
q0076  04:20.5-04:21.9  Я был на родительском собрании.
q0077  04:22.0-04:25.0  Ага. Докажи. Покажи нам пенис.
q0078  04:25.0-04:30.0  Я...
q0079  04:30.0-04:37.5  Знаете, когда я это говорил, я понимал, что это неправильно
q0080  04:37.5-04:41.8  Это все волнение
q0081  04:41.8-04:47.6  Я забыл, что моя основная цель – безопасность людей
q0082  04:49.6-04:53.4  Женщины не могут веселиться, если они в опасности
q0083  04:53.4-04:59.4  Например, у нас с Джен есть кодовое слово, если все заходит слишком далеко.
q0084  05:00.1-05:00.6  Листва.
q0085  05:01.8-05:06.6  И если один из нас говорит это, другой должен остановиться.
q0086  05:09.2-05:14.7  Хотя в последний раз она притворилась, что не слышит меня.
q0087  05:15.4-05:19.1  Майкл, приходи сегодня после работы, хорошо? Мне не хватает твоего дела.
q0088  05:20.1-05:21.5  Не знаю, я чувствую.
q0089  05:22.1-05:24.7  Столько ехать, столько бензина тратить.
q0090  05:25.6-05:26.7  Я дам тебе 200 баксов.
q0091  05:26.9-05:28.6  Если проснусь раньше, оставлю на комоде.
q0092  05:29.6-05:31.1  Это не знаю.
q0093  05:31.8-05:33.3  Мне как-то неудобно.
q0094  05:33.5-05:33.9  300?
q0095  05:35.3-05:36.2  Не знаю.
q0096  05:36.7-05:37.4  Ну как хочешь.
q0097  05:37.6-05:40.5  Дай знать моему помощнику, когда приедешь, чтобы он заказал водки.
q0098  05:40.6-05:40.8  Хорошо?
q0099  05:41.0-05:41.7  Хантер, сделаешь?
q0100  05:42.0-05:42.8  Сделаем, Грен.
q0101  05:42.8-05:50.4  Работники нашего офиса нежные и беспомощные.
q0102  05:50.4-05:52.8  Им нужна защита от местных психов.
q0103  05:52.8-05:56.0  Лучше тысячи невинных в тюрьме, чем один преступник
q0104  05:56.0-05:57.0  на свободе.
q0105  05:57.0-06:01.6  Меня это выводит из себя, люди явно напуганы.
q0106  06:01.6-06:04.9  В моем доме это недопустимо.
q0107  06:04.9-06:07.4  Позвольте показать, над чем я работал.
q0108  06:07.4-06:09.9  Здесь несколько пенисов, которые должна просмотреть
q0109  06:09.9-06:10.9  Филлис.
q0110  06:10.9-06:12.7  Посмотрим, сможем ли мы поймать извращенца.
q0111  06:12.7-06:16.7  Это последнее, что сейчас нужно видеть Филлис, Дуайт.
q0112  06:16.8-06:17.7  Думаю, этот.
q0113  06:18.5-06:19.6  Дуайт, это твои штаны?
q0114  06:20.5-06:21.5  Это полароид.
q0115  06:22.0-06:24.1  Ну, можно использовать картинки из интернета.
q0116  06:24.7-06:25.7  Да, почему бы и нет?
q0117  06:26.2-06:29.0  Всем внимание, Дуайт хотел кое-что сказать.
q0118  06:29.8-06:35.8  Учитывая недавний инцидент, включающий Филлис, парковку, мужчину и его пенис,
q0119  06:36.2-06:37.6  полагаю, вы понимаете, о чем я говорю.
q0120  06:37.6-06:42.1  Майкл уполномочил меня составить спецгруппу антиобнаженки.
q0121  06:42.7-06:46.6  Вопрос. Не помешает ли это другим группам?
q0122  06:47.4-06:49.9  Ответ. Нет, потому что это в приоритете.
q0123  06:50.9-06:55.9  Это петиция на усовершенствование камер слежения и установку двух прожекторов на стоянке.
q0124  06:55.9-06:58.8  Я знаю, что вы думаете на этот счет.
q0125  06:59.8-07:02.9  Не прольет ли это больше света на пенисы?
q0126  07:03.5-07:05.4  Но это риск, на который мы пойдем.
q0127  07:05.6-07:08.3  Эм, ты можешь нарисовать как бы...
q0128  07:25.2-07:28.1  Я не часто скучаю по Рой, но скажу вам одно.
q0129  07:28.8-07:31.3  Хотела бы я, чтобы кто-то сделал так, когда рядом Рой.
q0130  07:31.7-07:33.9  Потому что это был бы мордобой года.
q0131  07:35.4-07:36.8  Особенно, если бы это был Джим.
q0132  07:38.3-07:41.0  Он бы не захотел, чтобы я увидела у Джима.
q0133  07:43.4-07:45.4  Что-то меня занесло.
q0134  07:49.3-07:51.5  А я не очень хорошо разглядела.
q0135  07:52.0-07:52.6  Всё в порядке.
q0136  07:53.6-07:54.9  Лучше бы я на звонки отвечала.
q0137  07:55.1-07:57.5  Эй, вы видели памятку, которую разослал Дуайт?
q0138  07:58.2-08:03.1  Женщины будут отправлены домой, если на них будет макияж или каблуки выше полусантиметра.
q0139  08:03.4-08:07.9  Женщинам не позволяется говорить с незнакомцами без письменного разрешения Дуайта Шрута.
q0140  08:07.9-08:09.0  Это нелепо.
q0141  08:09.5-08:12.1  Внимание, я забрал все бананы с кухни.
q0142  08:14.1-08:17.1  Дуайт, памятка, которую ты составила, скорбительна.
q0143  08:17.5-08:19.6  Времена отчаяния требуют отчаянных мер.
q0144  08:20.3-08:23.3  Рукава до запястья, воротники на пуговицах и темные цвета.
q0145  08:24.0-08:25.1  Никто так не одевается.
q0146  08:25.5-08:29.0  Так, знаешь что, Дуайт, мы не террористы.
q0147  08:29.3-08:33.3  Давай ты возьмешь этих женщин, оденешь в мешки и будешь бить палкой,
q0148  08:33.7-08:34.9  потому что это ты предлагаешь.
q0149  08:35.4-08:37.2  Я уважаю этих женщин.
q0150  08:37.2-08:40.2  Они заслуживают права одеваться, как им понравится.
q0151  08:40.3-08:43.0  Если Пэм хочется большое декольте, то пусть носит.
q0152  08:43.1-08:44.0  Я это приветствую.
q0153  08:44.8-08:46.0  Слушай, всё предельно просто.
q0154  08:46.3-08:48.4  Мы просто хотим, чтобы вы относились к нам с уважением.
q0155  08:48.7-08:50.6  Видишь, об этом мы и толкуем.
q0156  08:50.8-08:51.6  Ты это слышал, Дуайт?
q0157  08:51.8-08:52.0  Да.
q0158  08:52.8-08:53.8  Да, вы это слышали, Майк?
q0159  08:53.9-08:54.6  Нет, Дуайт.
q0160  08:55.0-08:55.5  Уважение.
q0161  08:56.8-08:57.3  Уважение.
q0162  08:58.0-08:59.1  Пойми ты, наконец.
q0163  09:00.8-09:02.1  Так, знаешь что, хватит.
q0164  09:03.4-09:04.7  Переговорная через пять минут.
q0165  09:04.9-09:05.8  Понимание женщин.
q0166  09:05.8-09:07.6  Постойте, а вы квалифицированы для этого?
q0167  09:08.8-09:10.0  О, не знаю, Джеймс.
q0168  09:10.5-09:11.9  Я появился из женщины?
q0169  09:12.1-09:13.3  Спал ли я с женщиной?
q0170  09:13.4-09:14.1  Более чем с одной?
q0171  09:14.3-09:15.2  Меньше, чем с тремя.
q0172  09:15.4-09:16.5  Это неверно.
q0173  09:16.8-09:17.3  Знаете что?
q0174  09:17.6-09:18.6  Пусть Оскар ведет собрание.
q0175  09:19.0-09:19.8  Он гомосексуалист.
q0176  09:20.1-09:21.2  А может тебе вести собрание?
q0177  09:21.3-09:21.9  Ты играешь в куклы.
q0178  09:22.1-09:24.7  Это коллекционные фигурки, они стоят больше твоей машины.
q0179  09:25.1-09:26.3  Знаете что, я эксперт.
q0180  09:27.1-09:28.0  Я все проведу.
q0181  09:28.2-09:29.8  Я знаю подноготную женщин.
q0182  09:29.8-09:36.0  Я бы хотел попросить прощения за мужчин, которые над вами смеялись.
q0183  09:36.0-09:38.0  Ну что вы заладили?
q0184  09:38.0-09:40.4  Еще раз спрашиваю, что здесь такого?
q0185  09:40.4-09:43.3  Никому не нравится, когда перед ним оголяются.
q0186  09:43.3-09:46.3  Когда Мередит показала мне сиськи в прошлое Рождество,
q0187  09:46.3-09:47.6  меня чуть не вырвало.
q0188  09:47.6-09:49.1  Я такого не помню.
q0189  09:49.1-09:50.1  Неудивительно.
q0190  09:50.1-09:51.7  Прошу, не цапайтесь.
q0191  09:51.7-09:54.0  Я хочу сказать...
q0192  09:54.0-09:55.0  Хочу сказать...
q0193  09:55.0-09:59.5  Что пенис?
q0194  09:59.5-10:01.5  Время, которое вы сказали в нужной ситуации.
q0195  10:02.4-10:04.5  Это прекраснейшая картина для женщин.
q0196  10:05.0-10:07.6  Но в неверной обстановке это как фильм ужасов.
q0197  10:07.6-10:08.1  Чужой.
q0198  10:08.9-10:09.1  Что?
q0199  10:09.6-10:10.8  Заткнись, заткнись.
q0200  10:11.6-10:18.7  Так, сегодня я хотел поднять сложную тему о женских проблемах.
q0201  10:19.1-10:21.5  В этой ситуации это полезно.
q0202  10:22.2-10:28.5  Журналы, шоу и фильмы показывают женщин как худых, высоких богинь.
q0203  10:29.5-10:31.5  Что ж, подвинитесь.
q0204  10:32.2-10:33.5  Разве женщины такие?
q0205  10:34.5-10:35.0  Нет.
q0206  10:35.8-10:37.3  Нет, они не такие.
q0207  10:38.9-10:41.9  Даже самые красивые не такие худые.
q0208  10:43.5-10:44.4  О чем это говорит?
q0209  10:44.9-10:48.6  Это говорит, что вы, женщины, против этого.
q0210  10:49.0-10:50.0  И это преступление.
q0211  10:50.7-10:51.6  Обществу плевать.
q0212  10:52.1-10:53.0  Общество отстой.
q0213  10:53.4-10:56.7  Я даже не могу причислить себя к обществу.
q0214  10:56.7-10:59.1  Чтобы вы знали, потому что я так зол.
q0215  11:00.5-11:06.0  Как по мне, вы, дамы, могли бы быть моделями.
q0216  11:06.3-11:08.1  Да, Энди.
q0217  11:08.6-11:10.5  Тогда модели могли бы работать тут со мной.
q0218  11:10.6-11:12.4  Всё, что вы говорите, мизогения.
q0219  11:12.9-11:13.0  Да.
q0220  11:14.8-11:15.3  Спасибо.
q0221  11:16.6-11:18.8  Это было лишнее, но спасибо.
q0222  11:19.1-11:20.4  И это подтверждает мои слова.
q0223  11:20.9-11:22.6  Женщины могут делать что угодно.
