q0001  00:00.0-00:03.7  Хорошо, где болит?
q0002  00:09.2-00:14.7  Вот, вот здесь.
q0003  00:15.8-00:16.3  Брюшина.
q0004  00:17.7-00:18.3  Инструация.
q0005  00:18.7-00:19.3  Может быть.
q0006  00:19.6-00:21.6  Матка сжимается после зарождения яйцеклетки.
q0007  00:21.7-00:22.8  У меня нет яйцеклеток.
q0008  00:23.0-00:23.9  Когда это началось?
q0009  00:24.6-00:25.9  Минут 10 назад.
q0010  00:26.3-00:27.0  Я не...
q0011  00:27.0-00:28.2  Когда я зашел с документами?
q0012  00:30.0-00:32.2  Майкл очень болит, но не имеет симптомов.
q0013  00:33.3-00:34.8  Двайт всегда очень вредит.
q0014  01:00.0-01:29.0  Я не могу сказать, что вы можете приехать и пройти собеседование на должность управления.
q0015  01:30.0-01:30.5  Серьезно?
q0016  01:30.7-01:31.7  В течение недели.
q0017  01:32.0-01:34.7  Приведите отчет за первый квартал и рекомендации,
q0018  01:34.9-01:37.1  кого вы оставите в главе филиала с Крентом.
q0019  01:37.9-01:40.8  Ого, кажется, я готовил речь на такой случай.
q0020  01:41.1-01:42.0  Это не обязательно.
q0021  01:42.2-01:45.3  Пусть Господь поможет вам в ваших делах.
q0022  01:47.6-01:47.9  Да.
q0023  01:53.6-01:55.7  В ролях Стив Карл.
q0024  02:00.0-02:01.2  Рейн Уилсон,
q0025  02:03.8-02:05.3  Джон Красинский,
q0026  02:07.1-02:08.1  Дженна Фишер
q0027  02:08.1-02:10.8  и Би Джей Новак.
q0028  02:18.5-02:19.3  Офис.
q0029  02:20.3-02:23.9  Так, у всех есть полотенца и купальники.
q0030  02:24.8-02:26.1  У нас есть полтора часа.
q0031  02:26.2-02:27.8  Предлагаю всем сходить в туалет,
q0032  02:27.8-02:30.8  а потом мы соберёмся в праздничном автобусе.
q0033  02:31.7-02:32.5  Я так волнуюсь.
q0034  02:32.7-02:33.6  Сегодня пляжный день.
q0035  02:33.7-02:35.7  Майкл вывозит весь офис на пляж.
q0036  02:36.1-02:38.3  Так что у меня под рубашкой купальник.
q0037  02:39.2-02:39.5  О, да.
q0038  02:40.4-02:41.6  Я его в сумочке оставила.
q0039  02:42.8-02:44.7  Оскар, надеюсь, ты взял плавки?
q0040  02:45.0-02:46.3  Я не ношу плавки, Майкл.
q0041  02:46.9-02:49.5  Ну, ты не сможешь плавать в кожаных штанах?
q0042  02:50.7-02:52.5  Я тебе просто подкалываю.
q0043  02:53.2-02:54.0  Шучу я.
q0044  02:54.7-02:55.9  Кому нужен крем от солнца?
q0045  02:56.0-02:56.9  У меня кожа отличная.
q0046  02:56.9-03:00.5  О, знаешь что, ты не едешь
q0047  03:00.5-03:01.9  Это же пляжный день
q0048  03:01.9-03:03.7  Да, я знаю, прости
q0049  03:03.7-03:07.3  Тоби, мы... кому-то надо остаться здесь
q0050  03:07.3-03:10.2  Я хочу, чтобы остались прекрасные воспоминания
q0051  03:10.2-03:15.2  Которыми я и персонал будем делиться, когда я уеду в Нью-Йорк
