q0001  00:00.0-00:04.3  Дэвид?
q0002  00:30.0-00:37.0  задать пару вопросов по должности. Хорошо. Сколько кандидатов приглашено? Мы пригласили
q0003  00:37.0-00:43.1  управляющих филиалами и несколько человек рангом ниже. А, ну хорошо. И чисто из любопытства,
q0004  00:43.3-00:49.3  кто-нибудь из них работает дольше меня или управляет большим штатом? Я так не думаю. Отлично.
q0005  00:49.5-00:54.9  Еще один вопрос. Когда вы объедините эти филиалы? Кого вы поставите во главе? Надеюсь,
q0006  00:54.9-00:56.4  сможем поставить вас.
q0007  00:56.7-00:58.6  Отлично, вопросов больше нет.
q0008  00:58.8-01:00.0  Хорошо, Майкл. Хорошо.
q0009  01:00.4-01:01.9  Я очень жду собеседования с вами.
q0010  01:02.1-01:03.8  А я очень жду работы с вами.
q0011  01:08.4-01:10.6  Все приходится делать осторожно.
q0012  01:10.8-01:12.2  Я знаю эту компанию.
q0013  01:12.6-01:15.1  Остальные управляющие филиалов полные болваны.
q0014  01:15.5-01:15.9  Эй, Пэм.
q0015  01:16.1-01:18.0  Да, я забыл, в какой день собеседования.
q0016  01:18.2-01:19.5  Случайно уехал в Нью-Йорк.
q0017  01:19.7-01:20.8  Опоздаю часа на три.
q0018  01:24.9-01:36.1  В ролях Стив Карл, Рейн Уилсон, Джон Красинский, Дженна Фишер и Би Джей Новак.
q0019  01:39.6-01:40.6  Офис.
q0020  01:42.2-01:43.7  У меня 600.
q0021  01:44.9-01:46.3  Да, у меня нет.
q0022  01:47.0-01:47.4  Привет.
q0023  01:48.1-01:48.7  Привет, Кэф.
q0024  01:49.4-01:50.4  Что-то в тебе изменилось.
q0025  01:51.9-01:52.9  Хуже выглядишь.
q0026  01:52.9-01:53.7  Спасибо.
q0027  01:53.7-01:56.4  Новая прическа очень сексуальна.
q0028  01:57.8-01:58.5  Повернись.
q0029  01:59.0-01:59.2  Нет.
q0030  01:59.6-01:59.9  Давай.
q0031  02:00.2-02:00.7  Нет, спасибо.
q0032  02:00.9-02:01.5  Повернись.
q0033  02:02.6-02:05.9  Ты посмотри, как жизнь большая прическа.
q0034  02:06.3-02:07.5  Ты теперь небольшой тунец.
q0035  02:08.0-02:10.1  Отныне тебя запомнят как большую прическу.
q0036  02:10.8-02:12.4  Энди, что такое большая прическа?
q0037  02:12.8-02:13.4  Нет.
q0038  02:13.7-02:15.1  Прости, я тебя не слышу, большая прическа?
q0039  02:15.3-02:15.5  Да.
q0040  02:15.7-02:15.9  Что?
q0041  02:16.1-02:18.9  Тарен настояла, чтобы я сделал прическу на завтрашнее
q0042  02:18.9-02:22.2  собеседование, чтобы презентабельно выглядеть.
q0043  02:22.2-02:26.6  А то я похож, как она говорит, на бездомного.
q0044  02:27.7-02:29.7  Эй! Отлично выглядишь.
q0045  02:30.5-02:31.1  Спасибо, Пэм.
q0046  02:35.3-02:37.2  Моя маленькая вспышка на пляже.
q0047  02:38.2-02:39.9  Джим отнёсся к ней спокойно.
q0048  02:40.5-02:42.5  Он сказал, что ему тоже не хватало моей дружбы,
q0049  02:43.1-02:45.1  и я всегда много значила для него.
q0050  02:45.7-02:47.3  И я понимаю, чего ему это стоило.
q0051  02:47.7-02:49.6  Кстати, я совсем не смущена.
q0052  02:49.6-02:52.6  Мне надо было это сказать, и я сказала.
q0053  02:53.5-02:56.5  Только я три года набиралась смелости.
q0054  02:56.8-02:57.8  Так что спасибо.
q0055  02:59.7-03:00.4  Да?
q0056  03:01.1-03:02.4  Вы хотели меня видеть?
q0057  03:02.9-03:03.1  Да.
q0058  03:04.1-03:08.0  Пришло время назвать моего преемника, так что...
q0059  03:08.0-03:12.6  Передай этот конверт с поздравлениями Дуайту К. Шруту.
q0060  03:13.9-03:15.6  Но это моё имя.
q0061  03:19.6-03:25.0  Поздравляю, заменитель.
q0062  03:25.8-03:26.9  Смотри, не обделайся.
q0063  03:34.0-03:34.9  Спасибо.
q0064  03:35.4-03:36.0  Вот так.
q0065  03:39.9-03:40.8  Хорошо.
q0066  03:41.2-03:42.3  Спасибо, Майкл.
q0067  03:42.4-03:42.7  Хорошо.
q0068  03:46.7-03:48.6  Спасибо вам большое.
q0069  03:48.6-03:50.4  Эй, не реви
q0070  03:50.4-03:51.3  Спасибо
q0071  03:51.3-04:01.9  Эй
q0072  04:01.9-04:03.6  Эй
q0073  04:03.6-04:04.6  Эй
q0074  04:04.6-04:06.7  Насчёт пляжа
q0075  04:06.7-04:07.8  Всё хорошо
q0076  04:07.8-04:09.5  Мы все иногда говорим, не думая
q0077  04:09.5-04:11.3  О нет, это не так
q0078  04:11.3-04:14.8  Я долго думала об этом и рада, что сказала это
q0079  04:14.8-04:17.2  Прости, если я тебя смутила
q0080  04:17.2-04:21.2  О, хорошо.
q0081  04:22.9-04:25.7  Пэм оказалась стервой.
q0082  04:27.6-04:29.8  Эй, давай уедем сегодня.
q0083  04:30.4-04:34.2  Перекусим, снимем номер в отеле, немного погуляем по городу.
q0084  04:36.4-04:38.7  У меня столько бумажной работы.
q0085  04:42.9-04:45.5  Ого, закончил. Ладно, пойдем.
q0086  04:45.5-04:51.2  Мы с Карен хотели уйти на пару часов пораньше, потому что хотим провести ночь в городе
q0087  04:51.2-04:52.3  Что, поразвлечься?
q0088  04:53.5-04:54.0  Упс
q0089  04:54.0-04:58.4  Нет, вообще-то я думал, что мы можем выехать завтра
q0090  04:58.4-05:00.7  Поехать колонной, понимаешь?
q0091  05:01.3-05:02.8  Ехать колонной весело
q0092  05:02.8-05:05.0  Обгонять друг друга
q0093  05:05.0-05:06.8  Дулю показывать
q0094  05:06.8-05:09.1  Садницу в окно показывать
q0095  05:09.1-05:12.3  Мы хотели поехать сегодня, но мы увидимся с вами завтра у Тонг, так?
q0096  05:12.3-05:13.3  Ладно, хорошо
q0097  05:13.3-05:14.3  Тебе же хуже
q0098  05:14.3-05:16.8  А как вы собрались задницу за рулем показывать?
q0099  05:16.8-05:17.5  Строй с контроль.
q0100  05:17.8-05:18.0  О!
q0101  05:19.1-05:20.0  Итак, Джим.
q0102  05:20.8-05:22.0  Ну, по-твоему, красивее.
q0103  05:22.3-05:23.0  Пэм или Карен?
q0104  05:23.8-05:25.9  Я не собираюсь сейчас об этом говорить.
q0105  05:26.0-05:26.8  Пэм выше.
q0106  05:27.1-05:27.6  Еще уверен?
q0107  05:28.9-05:29.5  Да.
q0108  05:30.6-05:32.0  И грудь у нее тоже больше.
q0109  05:32.5-05:32.8  Ого.
q0110  05:33.1-05:35.0  Но думаю, у Карен лицо симпатичнее.
q0111  05:38.6-05:39.4  Ну, что еще?
q0112  05:41.8-05:43.7  Нет, у Пэм тоже красивое лицо.
q0113  05:44.3-05:46.2  Очень тяжелый выбор.
q0114  05:47.5-05:48.6  Да, очень тяжелый.
q0115  05:48.8-05:48.9  Да.
q0116  05:49.9-05:52.8  Знаешь, давай ты потратишь остаток дня на решение,
q0117  05:53.6-05:55.6  а потом вернешься и скажешь, что придумал.
q0118  05:57.6-05:58.3  Сделаю.
q0119  05:59.1-05:59.8  Хорошо.
q0120  06:00.9-06:01.7  Да.
q0121  06:03.6-06:06.0  Эй, Пэм, я хотел сказать тебе кое-что.
q0122  06:06.9-06:08.4  Мне очень не хватает нашей дружбы.
q0123  06:09.3-06:11.2  Это очень смешно.
q0124  06:11.2-06:13.0  Ты никогда столько не говорила.
q0125  06:13.7-06:15.0  Я думал, это была Келли.
q0126  06:15.1-06:17.3  Ты шутишь? Я бы никогда так не поступила.
q0127  06:17.3-06:18.9  Это было жалостливо, без обид, Пэм.
q0128  06:19.3-06:21.2  Знаешь, я бы об этом не беспокоилась.
q0129  06:21.4-06:24.4  Все были такие пьяные. Держу парень, никто не помнит, что ты говорила.
q0130  06:24.6-06:26.7  Я помню. Я всё занёс в блог.
q0131  06:26.7-06:32.6  www.credo.gov.3w.credo.
q0132  06:33.2-06:33.8  Посмотрите.
q0133  06:34.6-06:37.5  В прошлом году Крид спросил меня, как завести блог.
q0134  06:38.6-06:41.4  Желая защитить мир от потока мыслей Крида,
q0135  06:41.4-06:45.4  Я открыл документ на его компьютере и написал наверху адрес.
q0136  06:46.0-06:54.7  Потом почитал немного и понял, что даже для интернета это очень шокирующе.
q0137  06:55.8-06:57.8  Вот они, отдел бухгалтерии.
q0138  06:58.4-07:02.2  Мне будет не хватать вашей скромности и ваших аккуратно напечатанных чек.
q0139  07:02.6-07:05.3  Не думаете, что будет странно работать с Джен в Нью-Йорке?
q0140  07:05.4-07:06.4  Нет, вовсе нет.
q0141  07:06.9-07:09.0  Я не говорил с Джен с тех пор, как мы разошлись.
q0142  07:09.3-07:11.7  Если бы ей было что сказать, она бы позвонила.
q0143  07:12.3-07:13.9  Может, вам стоило поговорить с ней?
q0144  07:13.9-07:14.8  Нет, нет, нет, нет.
q0145  07:14.8-07:15.4  Знаешь что?
q0146  07:16.1-07:17.3  Это дело решённое.
q0147  07:17.5-07:19.0  Я уже практически получил место.
q0148  07:19.3-07:20.7  Она не сможет меня остановить.
q0149  07:20.9-07:22.3  Я уже продал свою квартиру.
q0150  07:22.6-07:23.0  Майкл.
q0151  07:23.2-07:23.5  Что?
q0152  07:24.2-07:24.6  Зачем?
q0153  07:24.7-07:25.9  Простите, но в этом нет смысла.
q0154  07:26.0-07:26.2  Да.
q0155  07:26.7-07:27.1  Зачем?
q0156  07:27.3-07:28.4  Кто вам посоветовал?
q0157  07:28.5-07:30.4  Да, Майкл, вам не стоило продавать квартиру.
q0158  07:30.4-07:32.1  Мне надо будет купить новое жилье.
q0159  07:32.1-07:33.4  Но вы говорили, что у вас долги.
q0160  07:33.4-07:33.7  Это не так.
q0161  07:33.7-07:34.9  Я не уверен, что получится.
q0162  07:35.0-07:36.3  Я продал её на eBay.
q0163  07:36.3-07:39.4  Покупатель был так же заинтересован, как и я.
q0164  07:39.5-07:41.6  Продал за 80%.
q0165  07:41.6-07:43.5  Все рекордные сроки.
q0166  07:44.8-07:48.8  А вы не хотите ли провести ночь с управляющим филиалом Дандер Мифлин с Крентом?
q0167  07:49.5-07:50.3  Нет, Дуайд.
q0168  07:50.8-07:53.3  Мне плевать, что так укрепляли власть в Древнем Риме.
q0169  07:53.6-07:53.9  Я...
q0170  07:53.9-07:56.0  Нет, нет, не с Майклом, со мной.
q0171  07:57.4-07:58.9  Я получу его место.
q0172  08:00.4-08:01.1  Не сейчас.
q0173  08:06.3-08:09.7  Прощай, Келли Капур.
q0174  08:13.3-08:14.6  Джим, Джим, Джим.
q0175  08:16.7-08:20.4  Джим, Джим, Джим, Джим, Джим, Джим.
q0176  08:21.6-08:22.7  Алло, привет, Вайт.
q0177  08:23.3-08:25.5  Я стану твоим новым боссом.
q0178  08:27.5-08:29.6  Сбывается моя величайшая мечта.
q0179  08:29.8-08:31.3  Приветствую в отеле Ад.
q0180  08:31.5-08:34.0  Запись сейчас, время выписки никогда.
q0181  08:35.0-08:36.2  Кабельная в моем номере есть?
q0182  08:36.3-08:36.7  Нет.
q0183  08:37.3-08:39.0  И простыни из огня.
q0184  08:39.7-08:40.7  А номер можно сменить?
q0185  08:40.9-08:42.0  Прости, у нас все занято.
q0186  08:42.6-08:44.2  В городе адский съезд.
q0187  08:44.7-08:45.6  А позднюю выпишку можно?
q0188  08:46.1-08:47.6  Я поговорю с управляющим.
q0189  08:48.0-08:48.8  Да не управляющий.
q0190  08:48.8-08:50.3  Даже в своих фантазиях?
q0191  08:51.8-08:52.8  Я владелец.
q0192  08:54.3-08:55.1  Совладелец.
q0193  08:55.3-08:56.1  С сатаной.
q0194  08:56.8-08:57.2  Хорошо.
q0195  08:58.1-09:01.2  Я так понимаю, в своей дичайшей фантазии,
q0196  09:01.2-09:07.2  Ты в аду и заправляешь отелем вместе с дьяволом.
q0197  09:08.3-09:09.6  Рано и не озвучил свой оклад.
q0198  09:10.2-09:10.6  Валяй.
q0199  09:11.5-09:14.1  80 тысяч год.
q0200  09:14.8-09:16.6  Когда я стану управляющим филиалом,
q0201  09:17.0-09:19.7  моим первым приказом будет понижение Джима Халперта.
q0202  09:20.6-09:22.3  Так что мне понадобится второй номер.
q0203  09:22.9-09:24.2  Идеальный выбор...
q0204  09:25.4-09:26.1  Челек Бауэр.
q0205  09:27.1-09:28.2  Но он недоступен.
q0206  09:29.6-09:30.2  Придуман.
q0207  09:30.2-09:32.1  И сверхопытен.
q0208  09:32.7-09:38.3  Увидимся на собеседовании.
q0209  09:39.3-09:40.6  Да, обязательно.
q0210  09:41.9-09:44.5  Кто такой Дэ Абрамсон?
q0211  09:44.7-09:46.7  Он из компании Спитцбурга, Майкл.
q0212  09:47.4-09:50.5  Почему ты здесь?
q0213  09:53.8-09:55.1  Как дела?
q0214  09:55.4-09:57.4  Хорошо, как дела, Дженнет?
q0215  09:57.4-09:58.6  Я прекрасна.
q0216  09:58.6-09:59.3  Я рад тебя видеть.
q0217  10:00.2-10:05.2  Можно...
q0218  10:06.0-10:07.9  Можем мы поговорить наедине?
q0219  10:09.2-10:10.7  Зачем наедине?
q0220  10:11.3-10:12.2  Я просто...
q0221  10:13.2-10:14.2  Я не...
q0222  10:15.5-10:17.6  Мне не нравится, что осталось между нами.
q0223  10:18.4-10:19.9  Ладно, конечно, хорошо.
q0224  10:20.2-10:21.7  Можешь подождать у меня в кабинете.
q0225  10:22.3-10:24.3  Мне надо разобраться с важными делами.
q0226  10:26.2-10:26.9  Хорошо.
q0227  10:27.1-10:27.4  Ладно.
q0228  10:30.2-10:32.4  Боевая готовность.
q0229  10:44.7-10:46.4  Или с Анджелу Карен.
q0230  10:46.8-10:47.5  Как насчет Меридит?
q0231  10:48.0-10:49.6  Нет, она в запасных.
q0232  10:50.8-10:51.8  Ну, как дела?
q0233  10:52.2-10:52.5  Хорошо.
q0234  10:52.7-10:53.6  Хорошо, хорошо.
q0235  10:53.6-10:54.2  Хорошо.
q0236  10:54.7-10:54.9  Да.
q0237  10:55.5-10:57.5  Прости, что нагрянуло неожиданно.
q0238  10:57.8-11:01.2  Я пыталась звонить, но попадала на голосовую почту.
q0239  11:01.3-11:01.7  Странно.
q0240  11:01.7-11:04.4  Да, я не получил оба твоих сообщения.
q0241  11:08.8-11:10.7  Майкл просит собраться в переговорной.
q0242  11:11.2-11:12.0  О, опять насчёт Джан?
q0243  11:12.9-11:14.6  Эй, до того, как я уеду,
q0244  11:15.1-11:17.0  ты могла бы сделать по шесть копий отчётов
q0245  11:17.0-11:19.4  по нашим сжимам продажам для собеседования на завтра?
q0246  11:19.5-11:19.9  Конечно.
q0247  11:20.2-11:20.6  Спасибо.
q0248  11:21.7-11:23.5  Я надеюсь, ты получишь должность.
q0249  11:24.2-11:24.5  Спасибо.
q0250  11:27.9-11:31.0  Когда ты закончил всё между нами,
q0251  11:31.0-11:32.4  Я ушла в отпуск.
q0252  11:34.1-11:35.3  Чтобы прийти в себя.
q0253  11:35.4-11:37.0  Неплохо звучит, неплохо.
q0254  11:37.2-11:39.2  Да, да, это было хорошо.
q0255  11:39.8-11:42.9  Думаю, мне просто стоит перейти сразу к сути дела.
q0256  11:43.5-11:43.7  Хорошо.
q0257  11:44.0-11:47.9  Я первый раз за долгое время хорошо себя чувствую.
q0258  11:48.4-11:53.0  И у меня много перемен в жизни.
q0259  11:54.4-11:57.9  И мне тебя не хватает.
q0260  12:01.0-12:02.5  Я хочу вернуться к тебе.
q0261  12:06.9-12:08.4  Ты простишь, я на секунду.
q0262  12:11.8-12:12.7  Полная тревога.
q0263  12:14.5-12:16.3  Она хочет, чтобы мы опять сошлись.
q0264  12:16.5-12:17.5  Что вы собираетесь делать?
q0265  12:17.6-12:20.3  Не знаю, поэтому вы здесь. Помогите, пожалуйста.
q0266  12:20.6-12:21.9  Вы хотели бы снова сойти с ней?
q0267  12:22.1-12:24.1  Нет, нет. Что мне делать?
q0268  12:24.6-12:26.0  Просто не возвращаться к ней.
q0269  12:26.2-12:27.4  Что если она меня заставит?
q0270  12:27.5-12:29.3  Как она может заставить вас вернуться к ней?
q0271  12:29.3-12:31.4  Она меня много чего заставляла делать.
